snomedConcept,snomedIdentifier,conditionName,predictedTag,confidence,sentence,source,support CNL1L2L3,support L1L2L3,L1,L2,L3
Congestive cardiomyopathy (disorder),399020009,Dilated cardiomyopathy,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,Call 911 or your local emergency number if you feel chest pain that lasts more than a few minutes or have severe difficulty breathing.,MAYO,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
"Acute lymphoid leukemia, disease (disorder)",91857003,Acute lymphoblastic leukaemia,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.0082644628099173,"Depending on how well you respond to treatment, the remission induction phase can last from 2 weeks to several months.",NHS,0.0001932740626207,0.0233861615771163,IMPROVE,SLOWLY,FROM 2 MONTH TO 6 MONTH
Antiphospholipid syndrome (disorder),26843008,Antiphospholipid syndrome,PERMANENT,0.0011520737327188,"There's no cure for antiphospholipid syndrome, but medications can reduce your risk of blood clots.",MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,
Cerebral palsy (disorder),128188000,Cerebral palsy,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,"For some types of surgery it can take months or even years for the full benefits to be achieved, and extensive physiotherapy may be needed to help with recovery.",NHS,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Congenital heart disease (disorder),13213009,Congenital heart disease,DECLINE FAST FROM 1 DAY TO 1 WEEK,0.0555555555555555,The first stage is usually performed during the first few days of life,NHS,0.0001932740626207,0.0034789331271743,DECLINE,FAST,FROM 1 DAY TO 1 WEEK
Marfan's syndrome (disorder),19346006,Marfan syndrome,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,These are major operations that can take a year or more to fully recover from.,NHS,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Cardiomegaly (disorder),8186001,Enlarged heart,PERMANENT,0.0011520737327188,"There are ways to improve your condition, even though you can't cure it.",MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,
Juvenile osteochondrosis of tibial tubercle (disorder),72047008,Osgood-Schlatter disease,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.0082644628099173,The discomfort can last from weeks to months and can recur until your child stops growing.,MAYO,0.0001932740626207,0.0233861615771163,IMPROVE,SLOWLY,FROM 2 MONTH TO 6 MONTH
Chronic obstructive lung disease (disorder),13645005,COPD,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369,"Although COPD is a progressive disease that gets worse over time, COPD is treatable.",MAYO,0.0001932740626207,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Pregnant (finding),77386006,Pregnancy,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.006578947368421,Pregnancy normally lasts from 37 weeks to 42 weeks from the first day of your last period,NHS,0.0001932740626207,0.029377657518361,IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR
Pervasive developmental disorder (disorder),35919005,Autism spectrum disorder,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.006578947368421,Often children show symptoms of autism within the first year.,MAYO,0.0001932740626207,0.029377657518361,IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR
Obsessive-compulsive disorder (disorder),191736004,Obsessive-compulsive disorder (OCD),IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0112781954887218,"OCD usually begins in the teen or young adult years, but it can start in childhood.",MAYO,0.0005798221878623,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Repetitive motion disorder (disorder),788465007,Repetitive strain injury (RSI),IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.0082644628099173,"You may also get swelling in the affected area, which can last for several months",NHS,0.0001932740626207,0.0233861615771163,IMPROVE,SLOWLY,FROM 2 MONTH TO 6 MONTH
Severe acute respiratory syndrome-related coronavirus (organism),415360003,SARS (severe acute respiratory syndrome),PERMANENT,0.0011520737327188,"There's currently no cure for SARS, but research to find a vaccine is ongoing.",NHS,0.0001932740626207,0.1677618863548511,PERMANENT,,
Paget's disease of nipple (disorder),403946000,Paget's disease of the nipple,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,Lymphoedema can develop months or sometimes years after surgery,NHS,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Mass of scrotum (finding),53929009,Scrotal masses,PERMANENT,0.0011520737327188,"Most cases of testicular cancer can be cured, but follow-up care is necessary to watch for possible recurrences.",MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,
Postconcussion syndrome (disorder),40425004,Post-concussion syndrome,IMPROVE MODERATELY FROM 6 MONTH TO 1 YEAR,0.0217391304347826,Post-concussion syndrome is a complex disorder in which various symptoms — such as headaches and dizziness — last for weeks and sometimes months after the injury that caused the concussion.,MAYO,0.0001932740626207,0.0088906068805566,IMPROVE,MODERATELY,FROM 6 MONTH TO 1 YEAR
Genus Rotavirus (organism),417542000,Rotavirus,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971,"Usually, the infection resolves within three to seven days.",MAYO,0.0001932740626207,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK
Benign neoplasm of peripheral nerve (disorder),409660009,Benign peripheral nerve tumor,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369,An intraneural perineurioma occurs most commonly in children and young adults and typically causes gradually progressive weakness and sensory loss involving an arm or leg.,MAYO,0.0001932740626207,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Patellar tendonitis (disorder),37785001,Patellar tendinitis,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,"Knee pain and reduced function can persist if you don't tend to the problem, and you may progress to the more serious patellar tendinopathy.",MAYO,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Frontotemporal dementia (disorder),230270009,Frontotemporal dementia,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.007380073800738,"Like other types of dementia, frontotemporal dementia tends to develop slowly and get gradually worse over several years.",NHS,0.0003865481252415,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Sampling of chorionic villus (procedure),303720006,Chorionic villus sampling,IMPROVE MODERATELY FROM 6 MONTH TO 1 YEAR,0.0217391304347826,"CVS is usually carried out between the 11th and 14th weeks of pregnancy, although it's sometimes performed later than this if necessary.",NHS,0.0001932740626207,0.0088906068805566,IMPROVE,MODERATELY,FROM 6 MONTH TO 1 YEAR
Subarachnoid intracranial hemorrhage (disorder),21454007,Subarachnoid haemorrhage,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0077120822622107,"During the first few months after a subarachnoid haemorrhage, it's normal to feel extremely tired (fatigue).",NHS,0.0005798221878623,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH
Trastuzumab (substance),387003001,Herceptin (trastuzumab),IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0020725388601036,The first treatment usually takes about 90 minutes and further treatments take about 30 minutes,NHS,0.0003865481252415,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
"Hemangioma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)",2099007,Hemangioma,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462,"Many hemangiomas disappear by age 5, and most are gone by age 10. The skin may be slightly discolored or raised after the hemangioma goes away.",MAYO,0.0001932740626207,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH
Diabetic coma with ketoacidosis (disorder),26298008,Diabetic coma,PERMANENT,0.0011520737327188,"The idea of a diabetic coma is scary, but you can take steps to help prevent it.",MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,
Malignant tumor of ureter (disorder),363458004,Ureteral cancer,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.006578947368421,But expect to see your doctor every few months for the first year and then less frequently after that.,MAYO,0.0001932740626207,0.029377657518361,IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR
Circumcision (procedure),72310004,Circumcision in men,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971,You'll probably be advised to take at least 1 week off work to recover.,NHS,0.0001932740626207,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK
Malignant tumor of small intestine (disorder),363509000,Small bowel cancer,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,"If you've been inactive, start slowly and build up gradually to 30 minutes.",MAYO,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Nocturnal enuresis (finding),8009008,Bed-wetting,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0025706940874035,It often takes one to three months to see any type of response and up to 16 weeks to achieve dry nights.,MAYO,0.0001932740626207,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH
Urinary tract infectious disease (disorder),68566005,Urinary tract infections (UTIs),IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0072463768115942,"Once you start treatment, the symptoms should start to clear up within 5 days in adults and 2 days in children.",NHS,0.0003865481252415,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK
Family Talpidae (organism),106925002,Moles,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0032362459546925,These changes can happen over weeks or months.,NHS,0.0003865481252415,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH
Primary myxofibrosarcoma (disorder),723076008,Myxofibrosarcoma,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,"Although MFS tends to recur in the same area where it started, a majority of patients live five or more years after treatment.",MAYO,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Intrauterine artificial insemination (procedure),265064001,Intrauterine insemination (IUI),IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0020725388601036,This usually happens on the same day that IUI takes place,NHS,0.0003865481252415,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Intracranial tumor (disorder),254935002,Malignant brain tumour (brain cancer),IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.006578947368421,"weakness, vision problems or speech problems that get worse",NHS,0.0001932740626207,0.029377657518361,IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR
Hyperhidrosis (disorder),312230002,Hyperhidrosis,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.006578947368421,"The effects last six to 12 months, and then the treatment needs to be repeated.",MAYO,0.0001932740626207,0.029377657518361,IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR
Body odor (finding),81917002,Sweating and body odor,PERMANENT,0.0011520737327188,"Otherwise, lifestyle and home treatments can usually help with normal sweating and body odor.",MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,
Children's hearing test (procedure),252957005,Hearing tests for children,IMPROVE MODERATELY FROM 6 MONTH TO 1 YEAR,0.0217391304347826,From 9 months to 2,NHS,0.0001932740626207,0.0088906068805566,IMPROVE,MODERATELY,FROM 6 MONTH TO 1 YEAR
Coma (disorder),371632003,Coma,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.007380073800738,"Over time, the person may start to gradually regain consciousness and become more aware",NHS,0.0003865481252415,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Malignant tumor of ovary (disorder),363443007,Ovarian cancer,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369,But chemotherapy may help reduce the symptoms and keep the cancer under control for several months or years,NHS,0.0001932740626207,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Rickets (disorder),41345002,Rickets,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,"During most seasons, 10 to 15 minutes of exposure to the sun near midday is enough.",MAYO,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Backache (finding),161891005,Back pain,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0097087378640776,"If prevention fails, simple home treatment and proper body mechanics often will heal your back within a few weeks and keep it functional.",MAYO,0.0011596443757247,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH
Greenstick fracture (morphologic abnormality),442085002,Greenstick fractures,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0032362459546925,"X-rays are required in a few weeks to make sure the fracture is healing properly, to check the alignment of the bone, and to determine when a cast is no longer needed.",MAYO,0.0003865481252415,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH
Talipes planus (disorder),53226007,Flatfeet,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0020725388601036,"If you aren't having pain, no treatment is usually necessary for flatfeet.",MAYO,0.0003865481252415,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Pancreatitis (disorder),75694006,Pancreatitis,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0072463768115942,"You'll stop eating for a couple of days in the hospital in order to give your pancreas a chance to recover.
Once",MAYO,0.0003865481252415,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK
Undescended testicle (disorder),204878001,Undescended testicle,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0077120822622107,"The vast majority of the time, the undescended testicle moves into the proper position on its own, within the first few months of life.",MAYO,0.0005798221878623,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH
Amyotrophic lateral sclerosis (disorder),86044005,Amyotrophic lateral sclerosis (ALS),DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369,"On average, death occurs within three to five years after symptoms begin.",MAYO,0.0001932740626207,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Generalized anxiety disorder (disorder),21897009,Generalised anxiety disorder in adults,PERMANENT,0.0034562211981566,"Generalised anxiety disorder (GAD) is a long-term condition, but a number of different treatments can help.",NHS,0.0005798221878623,0.1677618863548511,PERMANENT,,
Glossitis (disorder),45534005,Coated or white tongue,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971,But this should only last a few days,NHS,0.0001932740626207,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK
Toxoplasmosis (disorder),187192000,Toxoplasmosis,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0032362459546925,"If you do have symptoms, they normally get better on their own within about 6 weeks.",NHS,0.0003865481252415,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH
Infection caused by Trichomonas (disorder),56335008,Trichomoniasis,DECLINE MODERATELY FROM 8 DAY TO 2 MONTH,0.032258064516129,Symptoms of trichomoniasis usually develop within a month of infection.,NHS,0.0001932740626207,0.0059914959412446,DECLINE,MODERATELY,FROM 8 DAY TO 2 MONTH
Brachycephaly (disorder),13649004,Plagiocephaly and brachycephaly (flat head syndrome),IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.0082644628099173,"Treatment is started when the child's skull is still soft, usually at around 5 or 6 months old, and the device is worn almost continuously (up to 23 hours a day) for several months.",NHS,0.0001932740626207,0.0233861615771163,IMPROVE,SLOWLY,FROM 2 MONTH TO 6 MONTH
Family Ancylostomatidae (organism),359762003,Worms in humans,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,"They can take a long time to cause symptoms, so tell your GP if you have been abroad in the last 2 years",NHS,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Familial hypercholesterolemia (disorder),398036000,Familial hypercholesterolemia,DECLINE FAST FROM 5 MINUTE TO 1 DAY,0.0344827586206896,This defect prevents the body from ridding itself of the type of cholesterol that can build up in your arteries and cause heart disease.,MAYO,0.0001932740626207,0.005604947816003,DECLINE,FAST,FROM 5 MINUTE TO 1 DAY
Hereditary spastic paraplegia (disorder),39912006,Hereditary spastic paraplegia,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369,Symptoms gradually get worse over time,NHS,0.0001932740626207,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Infection caused by Clostridium botulinum (disorder),398565003,Botulism,IMPROVE MODERATELY FROM 6 MONTH TO 1 YEAR,0.0217391304347826,"Many people recover fully, but it may take months and extended rehabilitation therapy.",MAYO,0.0001932740626207,0.0088906068805566,IMPROVE,MODERATELY,FROM 6 MONTH TO 1 YEAR
Postherpetic neuralgia (disorder),2177002,Postherpetic neuralgia,IMPROVE MODERATELY FROM 6 MONTH TO 1 YEAR,0.0217391304347826,Pain that lasts three months or longer,MAYO,0.0001932740626207,0.0088906068805566,IMPROVE,MODERATELY,FROM 6 MONTH TO 1 YEAR
Prolapse of female genital organs (disorder),73998008,Pelvic organ prolapse,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0072463768115942,You'll be asleep during the operation and you will usually need to stay in hospital for 1 to 3 days afterwards.,NHS,0.0003865481252415,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK
Infestation caused by Sarcoptes scabiei var hominis (disorder),128869009,Scabies,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0032362459546925,"If you've never had scabies, it can take as long as six weeks for signs and symptoms to begin.",MAYO,0.0003865481252415,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH
Mumps (disorder),36989005,Mumps,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0032362459546925,The infection usually passes within a week or two.,NHS,0.0003865481252415,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH
Indigestion (finding),162031009,Indigestion,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369,Trouble swallowing that gets progressively worse,MAYO,0.0001932740626207,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Hirschsprung's disease (disorder),204739008,Hirschsprung's disease,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971,Your child will probably need to stay in hospital for a few days after surgery.,NHS,0.0001932740626207,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK
"Cytopathology procedure, preparation of smear, genital source (procedure)",90226004,Cervical screening,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462,"You'll get your results by letter, usually in about 2 weeks",NHS,0.0001932740626207,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH
Multiple sclerosis (disorder),24700007,Multiple sclerosis,DECLINE MODERATELY FROM 8 DAY TO 2 MONTH,0.032258064516129,Just over 1 in 10 people with the condition start their MS with a gradual worsening of symptoms.,NHS,0.0001932740626207,0.0059914959412446,DECLINE,MODERATELY,FROM 8 DAY TO 2 MONTH
Endoscopy (procedure),423827005,Endoscopy,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.005181347150259,"Depending on what part of your body is being looked at, you will probably be asked to avoid eating and drinking for several hours before you have an endoscopy.",NHS,0.0009663703131039,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Alopecia (disorder),56317004,Hair loss,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,last 3 to 4 years,NHS,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Empyema (disorder),312682007,Empyema,PERMANENT,0.0011520737327188,"bronchiectasis – a long-term condition where the airways of the lungs become abnormally widened, leading to a build-up of mucus that can make the lungs more vulnerable to infection",NHS,0.0001932740626207,0.1677618863548511,PERMANENT,,
Sheehan's syndrome (disorder),237684005,Sheehan's syndrome,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369,"Signs and symptoms of Sheehan's syndrome typically appear slowly, after a period of months or years.",MAYO,0.0001932740626207,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Takotsubo cardiomyopathy (disorder),441541008,Broken heart syndrome,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.006578947368421,"Ask your doctor how long you will need to continue taking these medications once you recover, as most can be stopped within three months.",MAYO,0.0001932740626207,0.029377657518361,IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR
Acute febrile mucocutaneous lymph node syndrome (disorder),75053002,Kawasaki disease,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0032362459546925,"Children can make a full recovery within 6 to 8 weeks if it's diagnosed and treated promptly, but complications can develop",NHS,0.0003865481252415,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH
Antisocial personality disorder (disorder),26665006,Antisocial personality disorder,PERMANENT,0.0023041474654377,"Although antisocial personality disorder is considered lifelong, in some people, certain symptoms — particularly destructive and criminal behavior — may decrease over time.",MAYO,0.0003865481252415,0.1677618863548511,PERMANENT,,
Sprain (morphologic abnormality),384709000,Sprains,IMPROVE MODERATELY FROM 6 MONTH TO 1 YEAR,0.0217391304347826,Recovery from sprains can take days to months.,MAYO,0.0001932740626207,0.0088906068805566,IMPROVE,MODERATELY,FROM 6 MONTH TO 1 YEAR
Hamstring injury (disorder),135851009,Hamstring injury,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.0082644628099173,A completely torn hamstring may take several months to heal and you'll be unable to resume training or play sport during this time.,NHS,0.0001932740626207,0.0233861615771163,IMPROVE,SLOWLY,FROM 2 MONTH TO 6 MONTH
Aphthous ulcer of mouth (disorder),426965005,Canker sore,IMPROVE FAST FROM 8 DAY TO 2 MONTH,0.05,"Treatment usually isn't necessary for minor canker sores, which tend to clear on their own in a week or two.",MAYO,0.0001932740626207,0.0038654812524159,IMPROVE,FAST,FROM 8 DAY TO 2 MONTH
Menopausal flushing (finding),198436008,Hot flashes,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,"Hot flashes subside gradually for most women, even without treatment, but it can take several years for them to stop.",MAYO,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Hysteroscopy (procedure),233545006,Hysteroscopy,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0041450777202072,You should be able to go home on the same day as your hysteroscopy,NHS,0.0007730962504831,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Sickle cell-hemoglobin SS disease (disorder),127040003,Sickle cell anemia,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0048543689320388,"But sickle cells usually die in 10 to 20 days, leaving a shortage of red blood cells (anemia).",MAYO,0.0005798221878623,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH
Gangrene (morphologic abnormality),36024000,Gangrene,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0020725388601036,"If bacteria thrive unchecked for long, infection can take over and cause your tissue to die, causing gangrene.",MAYO,0.0003865481252415,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Escherichia coli (organism),112283007,E. coli,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971,coli illness within a week.,MAYO,0.0001932740626207,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK
Eosinophilic esophagitis (disorder),235599003,Eosinophilic esophagitis,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,"This treatment is the easiest to use, but most people's symptoms don't improve.",MAYO,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Cholecystectomy (procedure),38102005,Gallbladder removal,IMPROVE FAST FROM 8 DAY TO 2 MONTH,0.05,These should start to disappear by themselves within a week or two,NHS,0.0001932740626207,0.0038654812524159,IMPROVE,FAST,FROM 8 DAY TO 2 MONTH
Retinoblastoma (disorder),370967009,Retinoblastoma,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,"In most cases, this will likely involve eye exams every few months for the first few years after retinoblastoma treatment ends.",MAYO,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Ulcer of lower extremity (disorder),95344007,Venous leg ulcer,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0025706940874035,"With appropriate treatment, most venous leg ulcers heal within 3 to 4 months.",NHS,0.0001932740626207,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH
Senile dementia of the Lewy body type (disorder),312991009,Dementia with Lewy bodies,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369,It tends to develop slowly and get gradually worse over several years.,NHS,0.0001932740626207,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Mesenteric lymphadenitis (disorder),44897000,Mesenteric lymphadenitis,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462,"Mild, uncomplicated cases of mesenteric lymphadenitis and those caused by a virus usually go away on their own, although full recovery can take four weeks or more.",MAYO,0.0001932740626207,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH
Syringomyelia (disorder),111496009,Syringomyelia,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0112781954887218,Months to years can pass after an injury before syringomyelia develops.,MAYO,0.0005798221878623,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Necrotizing fasciitis (disorder),52486002,Necrotising fasciitis,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0025706940874035,People with necrotising fasciitis often need to be looked after in an intensive care unit and may need to stay in hospital for several weeks.,NHS,0.0001932740626207,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH
Muscular dystrophy (disorder),73297009,Muscular dystrophy,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.007380073800738,"MD is a progressive condition, which means it gets worse over time",NHS,0.0003865481252415,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Primary malignant neoplasm of lung (disorder),93880001,Lung cancer,IMPROVE MODERATELY FROM 6 MONTH TO 1 YEAR,0.0217391304347826,Most people need 4 to 6 cycles of treatment over 3 to 6 months,NHS,0.0001932740626207,0.0088906068805566,IMPROVE,MODERATELY,FROM 6 MONTH TO 1 YEAR
Erythrocytosis (disorder),127062003,Polycythaemia,PERMANENT,0.0011520737327188,"If well controlled, polycythaemia should not affect your life expectancy, and you should be able to live a normal life",NHS,0.0001932740626207,0.1677618863548511,PERMANENT,,
Tension-type headache (disorder),398057008,Tension headache,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0025706940874035,Preventive medications may require several weeks or more to build up in your system before they take effect.,MAYO,0.0001932740626207,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH
Statin prophylaxis (procedure),315053001,Statins,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462,"You usually have to continue taking statins for life because if you stop taking them, your cholesterol will return to a high level within a few weeks.",NHS,0.0001932740626207,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH
Repair of umbilical hernia (procedure),44946007,Umbilical hernia repair,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0072463768115942,This is normal and usually settles within about a week,NHS,0.0003865481252415,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK
