snomedConcept,snomedIdentifier,conditionName,predictedTag,confidence,sentence,source,support CNL1L2L3,support L1L2L3
Verbal auditory hallucinations (finding),247730001,Hallucinations and hearing voices,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.006578947368421052,"The hallucinations usually last for about 12 to 18 months and can take the form of simple, repeated patterns or complex images of people, objects or landscapes.",NHS,0.00019327406262079628,0.029377657518361036
Seasonal affective disorder (disorder),247803002,Seasonal affective disorder (SAD),IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.002570694087403599,"If you have CBT, you'll have a number of sessions with a specially trained therapist, usually over several weeks or months",NHS,0.00019327406262079628,0.07518361035948977
Compulsive hoarding (finding),247968005,Hoarding disorder,DECLINE SLOWLY FROM 6 MONTH TO 1 YEAR,0.08333333333333333,Problems with hoarding gradually develop over time and tend to be a private behavior.,MAYO,0.00019327406262079628,0.0023192887514495554
Wrinkled face (finding),248194004,Wrinkles,IMPROVE MODERATELY FROM 6 MONTH TO 1 YEAR,0.021739130434782605,The effect typically lasts a few months.,MAYO,0.00019327406262079628,0.00889060688055663
Fatty dimpling of skin (finding),248306003,Cellulite,DECLINE MODERATELY FROM 2 MONTH TO 6 MONTH,0.06666666666666665,Results appear gradually over two to three months.,MAYO,0.00019327406262079628,0.0028991109393119445
Swollen knee (finding),248491001,Swollen knee,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518132,"To control pain and swelling, apply ice to your knee for 15 to 20 minutes every two to four hours.",MAYO,0.00019327406262079628,0.18650947042906849
"Menstruation, function (observable entity)",248957007,Periods,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003759398496240601,Your periods may start to become less frequent over a few months or years before stopping altogether,NHS,0.00019327406262079628,0.05141090065713181
Nutritional disorder (disorder),2492009,Malnutrition,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.002570694087403599,you've unintentionally lost a lot of weight over the last 3 to 6 months,NHS,0.00019327406262079628,0.07518361035948977
Bleeding from nose (finding),249366005,Nosebleed,IMPROVE MODERATELY FROM 1 DAY TO 1 WEEK,0.04347826086956521,You may need to stay in hospital for a day or two,NHS,0.00019327406262079628,0.004445303440278315
Diarrhea and vomiting (finding),249519007,Diarrhoea and vomiting,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971015,diarrhoea usually stops within 5 to 7 days,NHS,0.00019327406262079628,0.053343641283339766
Neuromyelitis optica (disorder),25044007,Neuromyelitis optica,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971015,A relapse can take from several hours up to days to develop,NHS,0.00019327406262079628,0.053343641283339766
Headache (finding),25064002,Exercise headaches,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518132,"Primary exercise headaches typically last between five minutes and 48 hours, while secondary exercise headaches usually last at least a day and sometimes linger for several days or longer.",MAYO,0.00019327406262079628,0.18650947042906849
Cardioversion (procedure),250980009,Cardioversion,PERMANENT,0.0034562211981566822,medicines to control atrial fibrillation,NHS,0.0005798221878623889,0.16776188635485118
Pediculosis corporis (disorder),25188002,Body lice,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462786,Items that can't be washed or dried should be sealed in a plastic bag and stored in a warm area for two weeks.,MAYO,0.00019327406262079628,0.11944337069965212
Female cystocele (disorder),252005008,Anterior prolapse (cystocele),IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518132,Mild cases — those with few or no obvious symptoms — typically don't require treatment.,MAYO,0.00019327406262079628,0.18650947042906849
Children's hearing test (procedure),252957005,Hearing tests for children,IMPROVE MODERATELY FROM 6 MONTH TO 1 YEAR,0.021739130434782605,From 9 months to 2,NHS,0.00019327406262079628,0.00889060688055663
Klatskin's tumor (disorder),253017000,Hilar cholangiocarcinoma,PERMANENT,0.001152073732718894,"For many, a liver transplant is a cure for hilar cholangiocarcinoma, but there is a risk that the cancer will recur after a liver transplant.",MAYO,0.00019327406262079628,0.16776188635485118
Chiari malformation (disorder),253184003,Chiari malformation,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369004,"In some people, Chiari malformation can become a progressive disorder and lead to serious complications.",MAYO,0.00019327406262079628,0.052377270970235784
Atrioventricular septal defect and common atrioventricular junction (disorder),253414002,Atrioventricular canal defect,DECLINE MODERATELY FROM 2 MONTH TO 6 MONTH,0.06666666666666665,Signs and symptoms usually develop in the first several weeks of life.,MAYO,0.00019327406262079628,0.0028991109393119445
Middle ear structure (body structure),25342003,Ear infection (middle ear),IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.002570694087403599,Some tubes are intended to stay in place for six months to a year and then fall out on their own.,MAYO,0.00019327406262079628,0.07518361035948977
Pulmonary atresia with intact ventricular septum (disorder),253590009,Pulmonary atresia with ventricular septum defect,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.002570694087403599,This is usually performed between 4 and 6 months of age.,MAYO,0.00019327406262079628,0.07518361035948977
Mullerian aplasia (disorder),253828000,Vaginal agenesis,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.002570694087403599,It may take a few months to get the result you want.,MAYO,0.00019327406262079628,0.07518361035948977
Ichthyosis vulgaris (disorder),254157005,Ichthyosis vulgaris,PERMANENT,0.001152073732718894,"No cure has been found for ichthyosis vulgaris, and treatments focus on controlling the condition.",MAYO,0.00019327406262079628,0.16776188635485118
Squamous cell carcinoma in situ of skin (disorder),254656002,Bowen's disease,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369004,"It tends to grow very slowly over months or years, and there are several very effective treatments for it",NHS,0.00019327406262079628,0.052377270970235784
Malignant neoplasm of breast (disorder),254837009,Breast cancer,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462786,"Breast cancer radiation can last from three days to six weeks, depending on the treatment.",MAYO,0.00019327406262079628,0.11944337069965212
Carcinoma of prostate (disorder),254900004,Prostate cancer,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.007380073800738006,"It usually develops slowly, so there may be no signs for many years",NHS,0.00038654812524159255,0.052377270970235784
Intracranial tumor (disorder),254935002,Malignant brain tumour (brain cancer),IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.006578947368421052,"weakness, vision problems or speech problems that get worse",NHS,0.00019327406262079628,0.029377657518361036
Social phobia (disorder),25501002,Social anxiety disorder,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369004,"Social anxiety disorder symptoms typically start in the teenage years, but meeting new people, giving a speech in public or making an important work presentation may trigger symptoms for the first time.",MAYO,0.00019327406262079628,0.052377270970235784
Neuroendocrine tumor (disorder),255046005,Neuroendocrine tumours and carcinoid syndrome,PERMANENT,0.002304147465437788,"If the tumour is caught early, it may be possible to completely remove it and cure the cancer altogether.",NHS,0.00038654812524159255,0.16776188635485118
Ventricular tachycardia (disorder),25569003,Ventricular tachycardia,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.002072538860103627,"With treatment, it may be possible to prevent or manage episodes of ventricular tachycardia.",MAYO,0.00038654812524159255,0.18650947042906849
Photodynamic therapy (procedure),257891001,Photodynamic therapy (PDT),IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.002072538860103627,This will involve a lamp or laser being shone on to the treatment area for around 10 to 45 minutes.,NHS,0.00038654812524159255,0.18650947042906849
Complete transposition of great vessels (disorder),26146002,Transposition of the great arteries,DECLINE FAST FROM 1 DAY TO 1 WEEK,0.05555555555555555,"Surgery is required for all babies with transposition of the great arteries early in life, usually within the first week.",MAYO,0.00019327406262079628,0.0034789331271743327
Ulcer of mouth (disorder),26284000,Mouth ulcers,IMPROVE FAST FROM 8 DAY TO 2 MONTH,0.05,Mouth ulcers are common and should clear up on their own within a week or 2,NHS,0.00019327406262079628,0.003865481252415926
Diabetic coma with ketoacidosis (disorder),26298008,Diabetic coma,PERMANENT,0.001152073732718894,"The idea of a diabetic coma is scary, but you can take steps to help prevent it.",MAYO,0.00019327406262079628,0.16776188635485118
Dislocation of patellofemoral joint (disorder),263029007,Dislocated kneecap,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0032362459546925572,A dislocated kneecap is a common injury that normally takes about 6 weeks to heal.,NHS,0.00038654812524159255,0.11944337069965212
Fractured nasal bones (disorder),263171005,Broken nose,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.007246376811594203,The packing usually needs to stay in for a week.,MAYO,0.00038654812524159255,0.053343641283339766
Fracture of proximal end of femur (disorder),263225007,Hip fracture,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.008264462809917356,"If internal fixation is used for an intracapsular fracture, you'll have follow-up appointments over several months with X-rays to check it is healing well.",NHS,0.00019327406262079628,0.02338616157711635
Intrauterine artificial insemination (procedure),265064001,Intrauterine insemination (IUI),IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.002072538860103627,This usually happens on the same day that IUI takes place,NHS,0.00038654812524159255,0.18650947042906849
Methicillin resistant Staphylococcus aureus infection (disorder),266096002,MRSA,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.002570694087403599,"Getting MRSA on your skin will not make you ill, and it may go away in a few hours, days, weeks or months without you noticing",NHS,0.00019327406262079628,0.07518361035948977
Hand foot and mouth disease (disorder),266108008,Hand-foot-and-mouth disease,DECLINE MODERATELY FROM 8 DAY TO 2 MONTH,0.06451612903225806,Signs and symptoms of hand-foot-and-mouth disease usually clear up in seven to 10 days.,MAYO,0.00038654812524159255,0.005991495941244685
Genital warts (disorder),266113007,Genital warts,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.006578947368421052,"If symptoms do appear, it can happen over a year after infection.",NHS,0.00019327406262079628,0.029377657518361036
Transient ischemic attack (disorder),266257000,Transient ischaemic attack (TIA),IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.003108808290155441,"A stroke is a serious health condition that can cause permanent disability and can be fatal in some cases, but appropriate treatment after a TIA can help to reduce your risk of having a stroke.",NHS,0.0005798221878623889,0.18650947042906849
Benign prostatic hyperplasia (disorder),266569009,Benign prostatic hyperplasia (BPH),DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.007380073800738006,"The severity of symptoms in people who have prostate gland enlargement varies, but symptoms tend to gradually worsen over time.",MAYO,0.00038654812524159255,0.052377270970235784
Dysmenorrhea (disorder),266599000,Period pain,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518132,"adenomyosis – where the tissue that normally lines the womb starts to grow within the muscular womb wall, making your periods particularly painful",NHS,0.00019327406262079628,0.18650947042906849
Antisocial personality disorder (disorder),26665006,Antisocial personality disorder,PERMANENT,0.002304147465437788,"Although antisocial personality disorder is considered lifelong, in some people, certain symptoms — particularly destructive and criminal behavior — may decrease over time.",MAYO,0.00038654812524159255,0.16776188635485118
Hormone replacement therapy (procedure),266717002,Hormone replacement therapy (HRT),IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.008264462809917356,"Contact a GP if you have symptoms that persist for several months after you stop HRT, or if you have particularly severe symptoms",NHS,0.00019327406262079628,0.02338616157711635
Edema (finding),267038008,Edema,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518132,"Mild edema usually goes away on its own, particularly if you help things along by raising the affected limb higher than your heart.",MAYO,0.00019327406262079628,0.18650947042906849
Suicidal (finding),267073005,Suicide and suicidal thoughts,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.003108808290155441,You may save a life — your own or someone else's.,MAYO,0.0005798221878623889,0.18650947042906849
Age-related macular degeneration (disorder),267718000,Age-related macular degeneration (AMD),DECLINE MODERATELY FROM 8 DAY TO 2 MONTH,0.03225806451612903,"This can happen gradually over several years (""dry AMD""), or quickly over a few weeks or months (""wet AMD"")",NHS,0.00019327406262079628,0.005991495941244685
Antiphospholipid syndrome (disorder),26843008,Antiphospholipid syndrome,PERMANENT,0.001152073732718894,"There's no cure for antiphospholipid syndrome, but medications can reduce your risk of blood clots.",MAYO,0.00019327406262079628,0.16776188635485118
Screening for malignant neoplasm of breast (procedure),268547008,Breast cancer screening,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,,The whole appointment takes less than half an hour and the mammogram takes a few minutes.,NHS,,
Myositis (disorder),26889001,Myositis (polymyositis and dermatomyositis),IMPROVE MODERATELY FROM 1 DAY TO 1 WEEK,0.04347826086956521,"The muscle weakness may change from week to week or month to month, although it tends to steadily get worse if you do not get treatment.",NHS,0.00019327406262079628,0.004445303440278315
Alzheimer's disease (disorder),26929004,Alzheimer's disease,DECLINE SLOWLY FROM 6 MONTH TO 1 YEAR,0.08333333333333333,"As Alzheimer's disease is a progressive neurological condition, it can cause problems with swallowing.",NHS,0.00019327406262079628,0.0023192887514495554
Air embolism (disorder),271376002,Air or gas embolism,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518132,They can develop within 10 to 20 minutes or sometimes even longer after surfacing,NHS,0.00019327406262079628,0.18650947042906849
Infectious mononucleosis (disorder),271558008,Mononucleosis,DECLINE FAST FROM 1 DAY TO 1 WEEK,0.05555555555555555,"A different antibody test requires a longer result time, but can detect the disease even within the first week of symptoms.",MAYO,0.00019327406262079628,0.0034789331271743327
Anemia (disorder),271737000,Anemia,PERMANENT,0.001152073732718894,"Anemia can be temporary or long term, and it can range from mild to severe.",MAYO,0.00019327406262079628,0.16776188635485118
Eruption of skin (disorder),271807003,Rashes in babies and children,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.010869565217391304,It usually clears up within a week,NHS,0.0005798221878623889,0.053343641283339766
Sprain of acromioclavicular ligament (disorder),27182002,Separated shoulder,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0032362459546925572,Most people regain full shoulder function within a few weeks after having a separated shoulder.,MAYO,0.00038654812524159255,0.11944337069965212
Wrinkled structure (morphologic abnormality),27367001,Wrinkles,IMPROVE MODERATELY FROM 6 MONTH TO 1 YEAR,0.021739130434782605,The effect typically lasts a few months.,MAYO,0.00019327406262079628,0.00889060688055663
Malignant melanoma of eye (disorder),274087000,Eye melanoma,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.006578947368421052,But it may take a few months to adjust to your new vision.,MAYO,0.00019327406262079628,0.029377657518361036
Leukoplakia (disorder),274134003,Leukoplakia,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462786,White plaques or sores in your mouth that don't heal on their own within two weeks,MAYO,0.00019327406262079628,0.11944337069965212
Dupuytren's contracture (disorder),274142002,Dupuytren's contracture,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.011070110701107012,Dupuytren's (du-pwe-TRANZ) contracture is a hand deformity that usually develops over years.,MAYO,0.0005798221878623889,0.052377270970235784
Spondylolisthesis (disorder),274152003,Spondylolisthesis,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.006578947368421052,"But it's a major operation that involves up to a week in hospital and a recovery period lasting months, where you have to limit your activities.",NHS,0.00019327406262079628,0.029377657518361036
Fracture of phalanx of thumb (disorder),274160002,Broken finger or thumb,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.006578947368421052,It may be 3 to 4 months before full strength returns to your hand.,NHS,0.00019327406262079628,0.029377657518361036
Fibrocystic breast changes (finding),27431007,Fibrocystic breasts,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.008264462809917356,"There was no additional benefit after four months.
For",MAYO,0.00019327406262079628,0.02338616157711635
Orchitis (disorder),274718005,Orchitis,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.007712082262210797,But it can take several weeks for scrotal tenderness to disappear.,MAYO,0.0005798221878623889,0.07518361035948977
Jellyfish sting (event),274920002,Jellyfish stings,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.002072538860103627,Most jellyfish stings get better with home treatment.,MAYO,0.00038654812524159255,0.18650947042906849
Gilbert's syndrome (disorder),27503000,Gilbert's syndrome,PERMANENT,0.001152073732718894,Gilbert's syndrome is a lifelong disorder,NHS,0.00019327406262079628,0.16776188635485118
Scar (disorder),275322007,Scars,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.013157894736842105,"To be effective, silicone gels or sheets should be placed over the scar for 12 hours a day for at least three months",NHS,0.00038654812524159255,0.029377657518361036
Developmental coordination disorder (disorder),27544004,Dyspraxia (developmental co-ordination disorder) in adults,PERMANENT,0.002304147465437788,"Although there is no cure for dyspraxia, there are therapies that can help you cope with your condition and be successful in your studies, work and home life, such as:",NHS,0.00038654812524159255,0.16776188635485118
Disorder of smell (disorder),275462005,Lost or changed sense of smell,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.005141388174807198,But it isn't usually serious and may get better in a few weeks or months,NHS,0.00038654812524159255,0.07518361035948977
Respiratory tract infection (disorder),275498002,Chest infection,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0032362459546925572,"These symptoms can be unpleasant, but they usually get better on their own in about 7 to 10 days.",NHS,0.00038654812524159255,0.11944337069965212
Infection caused by Corynebacterium diphtheriae (disorder),276197005,Diphtheria,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.002570694087403599,"Any skin ulcers usually heal within 2 to 3 months, but may leave a scar",NHS,0.00019327406262079628,0.07518361035948977
Menopause finding (finding),276477006,Menopause,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.011278195488721806,Periods usually start to become less frequent over a few months or years before they stop altogether,NHS,0.0005798221878623889,0.05141090065713181
Soiling (finding),276484003,Soiling (child pooing their pants),IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003759398496240601,The soiling may get worse before it gets better.,NHS,0.00019327406262079628,0.05141090065713181
Atrial tachycardia (disorder),276796006,Atrial tachycardia,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003759398496240601,"Atrial tachycardia episodes typically begin slowly, gradually increasing to more than 100 beats per minute before returning to a normal heart rate of around 60 to 80 beats per minute.",MAYO,0.00019327406262079628,0.05141090065713181
Odontogenic tumor of jaw (disorder),276968006,Jaw tumors and cysts,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518132,"Rarely, a tumor may shrink or resolve on its own, but typically these tumors require surgical treatment.",MAYO,0.00019327406262079628,0.18650947042906849
Sleep paralysis (disorder),277180005,Sleep paralysis,PERMANENT,0.001152073732718894,narcolepsy – a long-term condition that causes a person to suddenly fall asleep,NHS,0.00019327406262079628,0.16776188635485118
Delirium (disorder),2776000,Delirium,DECLINE FAST FROM 1 DAY TO 1 WEEK,0.05555555555555555,Signs and symptoms of delirium usually begin over a few hours or a few days.,MAYO,0.00019327406262079628,0.0034789331271743327
Lumbar puncture (procedure),277762005,Lumbar puncture,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971015,swelling and lower back pain where the needle was inserted – this should get better on its own after a few days and is normally nothing to worry about,NHS,0.00019327406262079628,0.053343641283339766
Autonomic neuropathy (disorder),277879009,Autonomic neuropathy,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518132,Sit with your legs dangling over the side of the bed for a few minutes before getting up.,MAYO,0.00019327406262079628,0.18650947042906849
Pertussis (disorder),27836007,Whooping cough,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.002570694087403599,This may also give some protection to the infant during the first few months of life.,MAYO,0.00019327406262079628,0.07518361035948977
Injury of eye region (disorder),282752000,Eye injuries,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518132,"Minor eye injuries, such as shampoo or dust in your eye, often get better on their own within a day",NHS,0.00019327406262079628,0.18650947042906849
Germinoma (morphologic abnormality),28307001,Germ cell tumors,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518132,"Germ cell tumors tend to respond to treatment and many can be cured, even when diagnosed at a late stage.",MAYO,0.00019327406262079628,0.18650947042906849
Mosquito bite (disorder),283344005,Mosquito bites,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.007246376811594203,Most mosquito bites stop itching and heal on their own in a few days.,MAYO,0.00038654812524159255,0.053343641283339766
Incised wound (disorder),283396008,Cuts and grazes,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971015,Minor wounds should start to heal within a few days.,NHS,0.00019327406262079628,0.053343641283339766
Bite - wound (disorder),283682007,Bite (animal or human),IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518132,"When you return home, watch out for signs of a possible infection.",NHS,0.00019327406262079628,0.18650947042906849
Abscess of breast (disorder),28432003,Breast abscess,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462786,The abscess should heal completely in a few days or weeks.,NHS,0.00019327406262079628,0.11944337069965212
Orthostatic hypotension (disorder),28651003,Orthostatic hypotension (postural hypotension),DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369004,Get up slowly.,MAYO,0.00019327406262079628,0.052377270970235784
Bilateral tubal ligation (procedure),287664005,Female sterilisation,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0051813471502590676,This is a fairly minor operation and many women return home the same day.,NHS,0.0009663703131039817,0.18650947042906849
"Polycystic kidney disease, infantile type (disorder)",28770003,Autosomal recessive polycystic kidney disease,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971015,"Most of these side effects should pass in a few days, although some people have a dry cough for longer.",NHS,0.00019327406262079628,0.053343641283339766
Sialolithiasis (disorder),28826002,Salivary gland stones,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518132,"If that's not possible, you may need to have the stone removed in hospital.",NHS,0.00019327406262079628,0.18650947042906849
"Squamous cell carcinoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)",28899001,Skin cancer (non-melanoma),DECLINE MODERATELY FROM 2 MONTH TO 6 MONTH,0.06666666666666665,The first sign of non-melanoma skin cancer is usually the appearance of a lump or discoloured patch on the skin that persists after a few weeks and slowly progresses over months or sometimes years,NHS,0.00019327406262079628,0.0028991109393119445
Blastocystis hominis (organism),28923009,Blastocystis hominis,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971015,Mild signs and symptoms might improve on their own within a few days.,MAYO,0.00019327406262079628,0.053343641283339766
Cytomegalovirus infection (disorder),28944009,Cytomegalovirus (CMV) infection,PERMANENT,0.001152073732718894,"There is no cure, but there are medications that can help treat the symptoms.",MAYO,0.00019327406262079628,0.16776188635485118
Immune thrombocytopenia (disorder),2897005,Immune thrombocytopenia (ITP),IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462786,The effect usually wears off in a couple of weeks.,MAYO,0.00019327406262079628,0.11944337069965212
"Pregnancy, function (observable entity)",289908002,Pregnancy,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.006578947368421052,Pregnancy normally lasts from 37 weeks to 42 weeks from the first day of your last period,NHS,0.00019327406262079628,0.029377657518361036
Autopsy examination (procedure),29240004,Post-mortem,DECLINE FAST FROM 1 DAY TO 1 WEEK,0.05555555555555555,"A post-mortem will be carried out as soon as possible, usually within 2 to 3 working days of a person's death.",NHS,0.00019327406262079628,0.0034789331271743327
Electrocardiographic procedure (procedure),29303009,Electrocardiogram (ECG),IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.002072538860103627,You don't need to do anything special to prepare for the test,NHS,0.00038654812524159255,0.18650947042906849
Retinal disorder (disorder),29555009,Retinal diseases,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518132,"Having a retinal condition can be difficult, and you may need to make changes in your life.",MAYO,0.00019327406262079628,0.18650947042906849
Injection of steroid (procedure),296778005,Steroid injections,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.007246376811594203,"The injections normally take a few days to start working, although some work in a few hours",NHS,0.00038654812524159255,0.053343641283339766
Nail problem (finding),297989000,Nail problems,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.005141388174807198,Fingernails that fall off after an injury should grow back within 6 months,NHS,0.00038654812524159255,0.07518361035948977
Scoliosis deformity of spine (disorder),298382003,Scoliosis,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462786,"It can affect people of any age, from babies to adults, but most often starts in children aged 10 to 15.",NHS,0.00019327406262079628,0.11944337069965212
Chest pain (finding),29857009,Chest pain,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518132,"Pain that lasts more than a few minutes, gets worse with activity, goes away and comes back, or varies in intensity",MAYO,0.00019327406262079628,0.18650947042906849
Limited systemic sclerosis (disorder),299276009,Limited scleroderma,PERMANENT,,Limited scleroderma has no known cure,MAYO,,
Knee joint valgus deformity (finding),299330008,Knock knees,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.006578947368421052,It can take a few months to return to all your normal activities after having an osteotomy,NHS,0.00019327406262079628,0.029377657518361036
Dental abscess (disorder),299709002,Tooth abscess,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518132,"If you care for your restored tooth properly, it can last a lifetime.",MAYO,0.00019327406262079628,0.18650947042906849
Insect sting (disorder),299971005,Insect bites and stings,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.010869565217391304,"The symptoms will normally improve within a few hours or days, although sometimes they can last a little longer.",NHS,0.0005798221878623889,0.053343641283339766
Anal fissure (disorder),30037006,Anal fissure,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.011326860841423949,Anal fissures usually heal within a few weeks without the need for treatment.,NHS,0.001352918438345574,0.11944337069965212
Disturbance of consciousness (finding),3006004,Disorders of consciousness,DECLINE MODERATELY FROM 8 DAY TO 2 MONTH,0.03225806451612903,"Once nutritional support is eventually withdrawn, the person will die within a few days or weeks.",NHS,0.00019327406262079628,0.005991495941244685
Morton's metatarsalgia (disorder),30085007,Morton's neuroma,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369004,It often gets worse over time,NHS,0.00019327406262079628,0.052377270970235784
Allergy to shellfish (finding),300913006,Shellfish allergy,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518132,Shellfish allergy symptoms generally develop within minutes to an hour of eating shellfish.,MAYO,0.00019327406262079628,0.18650947042906849
Surgical removal of third molar tooth (procedure),301067005,Wisdom tooth removal,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0048543689320388345,"This is usually worse for the first 3 days, but it can last for up to 2 weeks",NHS,0.0005798221878623889,0.11944337069965212
Antibiotic-associated diarrhea (disorder),301469002,Antibiotic-associated diarrhea,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.007246376811594203,"If you have mild diarrhea, your symptoms likely will clear up within a few days after your antibiotic treatment ends.",MAYO,0.00038654812524159255,0.053343641283339766
Ileostomy operation (procedure),301784005,Ileostomy,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971015,"After an ileostomy procedure, you'll need to stay in hospital for a few days while you recover.",NHS,0.00019327406262079628,0.053343641283339766
Irritable hip (disorder),301813003,Hip pain in children (irritable hip),IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462786,Irritable hip normally gets better in 1 or 2 weeks and doesn't cause lasting problems.,NHS,0.00019327406262079628,0.11944337069965212
Lesion of eyelid (finding),301913002,Eyelid problems,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462786,a lump that goes away by itself after 3 or 4 weeks,NHS,0.00019327406262079628,0.11944337069965212
