snomedConcept,snomedIdentifier,conditionName,predictedTag,confidence,sentence,source,support CNL1L2L3,support L1L2L3,L1,L2,L3
Cesarean section (procedure),11466000,Caesarean section,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,The whole operation normally takes about 40 to 50 minutes.,NHS,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,ncni
Methicillin resistant Staphylococcus aureus (organism),115329001,MRSA,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0025706940874035,"Getting MRSA on your skin will not make you ill, and it may go away in a few hours, days, weeks or months without you noticing",NHS,0.0001932740626207,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,ncni
Methicillin resistant Staphylococcus aureus (organism),115329001,MRSA,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462,Treatment can last a few days to a few weeks,NHS,0.0001932740626207,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,ncni
Methicillin resistant Staphylococcus aureus (organism),115329001,MRSA,PERMANENT,0.0011520737327188,"They can be serious, but can usually be treated with antibiotics that work against MRSA",NHS,0.0001932740626207,0.1677618863548511,PERMANENT,,,ncni
Otosclerosis (disorder),11543004,Otosclerosis,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369,"Your hearing usually gets worse gradually over months or a few years, and may continue to get worse if ignored and left untreated.",NHS,0.0001932740626207,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR,ncni
Otosclerosis (disorder),11543004,Otosclerosis,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971,You'll be able to go home the same day or the day after.,NHS,0.0001932740626207,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK,ncni
Steroid (substance),116566001,Steroid cream,PERMANENT,0.0011520737327188,"Topical corticosteroids cannot cure these conditions, but can help relieve the symptoms.",NHS,0.0001932740626207,0.1677618863548511,PERMANENT,,,ncni
Steroid (substance),116566001,Steroid inhalers,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,You'll usually need to take 1 or 2 puffs from your inhaler in the morning and 1 or 2 puffs in the evening.,NHS,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,ncni
Gestational diabetes mellitus (disorder),11687002,Gestational diabetes,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462,"You should have a blood test to check for diabetes 6 to 13 weeks after giving birth, and once every year after that if the result is normal.",NHS,0.0001932740626207,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH,ncni
Actinomycotic infection (disorder),11817007,Actinomycosis,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0075187969924812,your symptoms get worse or don't improve after leaving hospital,NHS,0.0003865481252415,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,ncni
Actinomycotic infection (disorder),11817007,Actinomycosis,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0025706940874035,"When you're well enough to go home, you'll be given tablets to take for a few months.",NHS,0.0001932740626207,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,ncni
Traveler's diarrhea (disorder),11840006,Traveler's diarrhea,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0072463768115942,Most cases improve within one to two days without treatment and clear up completely within a week.,MAYO,0.0003865481252415,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK,ncni
Traveler's diarrhea (disorder),11840006,Traveler's diarrhea,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,"If you need to consume local water, boil it for three minutes.",MAYO,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,ncni
Hodgkin's disease (disorder),118599009,Hodgkin lymphoma,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0051413881748071,"Chemotherapy is usually given over a period of a few months on an outpatient basis, which means you shouldn't have to stay in hospital overnight",NHS,0.0003865481252415,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,correct
Hodgkin's disease (disorder),118599009,Hodgkin's lymphoma (Hodgkin's disease),IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,"It may affect people of any age, but is most common in people between 20 and 40 years old and those over 55.",MAYO,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,pc
Hodgkin's disease (disorder),118599009,Hodgkin lymphoma,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0020725388601036,"If a cure is unlikely, you may only need to take chemotherapy tablets to help relieve your symptoms",NHS,0.0003865481252415,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,ncni
Hodgkin's disease (disorder),118599009,Hodgkin's lymphoma (Hodgkin's disease),PERMANENT,0.0011520737327188,People with this type of Hodgkin's lymphoma may have a better chance of a cure when the disease is diagnosed at an early stage.,MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,,pi
Hodgkin's disease (disorder),118599009,Hodgkin lymphoma,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0051413881748071,"Chemotherapy is usually given over a period of a few months on an outpatient basis, which means you shouldn't have to stay in hospital overnight",NHS,0.0003865481252415,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,correct
Hodgkin's disease (disorder),118599009,Hodgkin's lymphoma (Hodgkin's disease),IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,"It may affect people of any age, but is most common in people between 20 and 40 years old and those over 55.",MAYO,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,pc
Hodgkin's disease (disorder),118599009,Hodgkin lymphoma,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0020725388601036,"If a cure is unlikely, you may only need to take chemotherapy tablets to help relieve your symptoms",NHS,0.0003865481252415,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,ncni
Hodgkin's disease (disorder),118599009,Hodgkin's lymphoma (Hodgkin's disease),PERMANENT,0.0011520737327188,People with this type of Hodgkin's lymphoma may have a better chance of a cure when the disease is diagnosed at an early stage.,MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,,pi
Hodgkin's disease (disorder),118599009,Hodgkin lymphoma,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0051413881748071,"Chemotherapy is usually given over a period of a few months on an outpatient basis, which means you shouldn't have to stay in hospital overnight",NHS,0.0003865481252415,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,correct
Hodgkin's disease (disorder),118599009,Hodgkin's lymphoma (Hodgkin's disease),IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,"It may affect people of any age, but is most common in people between 20 and 40 years old and those over 55.",MAYO,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,pc
Hodgkin's disease (disorder),118599009,Hodgkin lymphoma,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0020725388601036,"If a cure is unlikely, you may only need to take chemotherapy tablets to help relieve your symptoms",NHS,0.0003865481252415,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,ncni
Hodgkin's disease (disorder),118599009,Hodgkin's lymphoma (Hodgkin's disease),PERMANENT,0.0011520737327188,People with this type of Hodgkin's lymphoma may have a better chance of a cure when the disease is diagnosed at an early stage.,MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,,pi
Hodgkin's disease (disorder),118599009,Hodgkin lymphoma,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0051413881748071,"Chemotherapy is usually given over a period of a few months on an outpatient basis, which means you shouldn't have to stay in hospital overnight",NHS,0.0003865481252415,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,ncni
Hodgkin's disease (disorder),118599009,Hodgkin's lymphoma (Hodgkin's disease),IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,"It may affect people of any age, but is most common in people between 20 and 40 years old and those over 55.",MAYO,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,pi
Hodgkin's disease (disorder),118599009,Hodgkin lymphoma,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0020725388601036,"If a cure is unlikely, you may only need to take chemotherapy tablets to help relieve your symptoms",NHS,0.0003865481252415,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,pi
Hodgkin's disease (disorder),118599009,Hodgkin's lymphoma (Hodgkin's disease),PERMANENT,0.0011520737327188,People with this type of Hodgkin's lymphoma may have a better chance of a cure when the disease is diagnosed at an early stage.,MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,,ncni
Hodgkin's disease (disorder),118599009,Hodgkin lymphoma,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0051413881748071,"Chemotherapy is usually given over a period of a few months on an outpatient basis, which means you shouldn't have to stay in hospital overnight",NHS,0.0003865481252415,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,pi
Hodgkin's disease (disorder),118599009,Hodgkin's lymphoma (Hodgkin's disease),IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,"It may affect people of any age, but is most common in people between 20 and 40 years old and those over 55.",MAYO,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,ncni
Hodgkin's disease (disorder),118599009,Hodgkin lymphoma,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0020725388601036,"If a cure is unlikely, you may only need to take chemotherapy tablets to help relieve your symptoms",NHS,0.0003865481252415,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,ncni
Hodgkin's disease (disorder),118599009,Hodgkin's lymphoma (Hodgkin's disease),PERMANENT,0.0011520737327188,People with this type of Hodgkin's lymphoma may have a better chance of a cure when the disease is diagnosed at an early stage.,MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,,ncni
Hodgkin's disease (disorder),118599009,Hodgkin lymphoma,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0051413881748071,"Chemotherapy is usually given over a period of a few months on an outpatient basis, which means you shouldn't have to stay in hospital overnight",NHS,0.0003865481252415,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH,pc
Hodgkin's disease (disorder),118599009,Hodgkin's lymphoma (Hodgkin's disease),IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,"It may affect people of any age, but is most common in people between 20 and 40 years old and those over 55.",MAYO,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,ncni
Hodgkin's disease (disorder),118599009,Hodgkin lymphoma,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0020725388601036,"If a cure is unlikely, you may only need to take chemotherapy tablets to help relieve your symptoms",NHS,0.0003865481252415,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,pi
Hodgkin's disease (disorder),118599009,Hodgkin's lymphoma (Hodgkin's disease),PERMANENT,0.0011520737327188,People with this type of Hodgkin's lymphoma may have a better chance of a cure when the disease is diagnosed at an early stage.,MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,,incorrect
