att_type_id,att_type_term,att_value_id,att_value_term,group,snomedConcept,snomedIdentifier
363698007,Finding site (attribute),52618001,Structure of pars distalis of pituitary (body structure),0.0,Sheehan's syndrome (disorder),237684005
116676008,Associated morphology (attribute),6574001,Necrosis (morphologic abnormality),0.0,Sheehan's syndrome (disorder),237684005
363698007,Finding site (attribute),68594002,Adrenal cortex structure (body structure),0.0,Adrenal Cushing's syndrome (disorder),237735008
246454002,Occurrence (attribute),255399007,Congenital (qualifier value),0.0,Congenital adrenal hyperplasia (disorder),237751000
363698007,Finding site (attribute),68594002,Adrenal cortex structure (body structure),0.0,Congenital adrenal hyperplasia (disorder),237751000
116676008,Associated morphology (attribute),76197007,Hyperplasia (morphologic abnormality),0.0,Congenital adrenal hyperplasia (disorder),237751000
370135005,Pathological process (attribute),308490002,Pathological developmental process (qualifier value),0.0,Congenital adrenal hyperplasia (disorder),237751000
370135005,Pathological process (attribute),308490002,Pathological developmental process (qualifier value),0.0,Primordial dwarfism (disorder),237837007
363714003,Interprets (attribute),271603002,Height / growth measure (observable entity),1.0,Primordial dwarfism (disorder),237837007
260686004,Method (attribute),257903006,Repair - action (qualifier value),0.0,Repair of femoral hernia (procedure),238171002
405813007,Procedure site - Direct (attribute),4828007,Femoral canal structure (body structure),0.0,Repair of femoral hernia (procedure),238171002
363700003,Direct morphology (attribute),414402003,Hernial opening (morphologic abnormality),0.0,Repair of femoral hernia (procedure),238171002
363698007,Finding site (attribute),127856007,Skin and/or subcutaneous tissue structure (body structure),0.0,Hair sinus (disorder),238496008
116676008,Associated morphology (attribute),419351001,Sinus (morphologic abnormality),0.0,Hair sinus (disorder),238496008
246075003,Causative agent (attribute),395508003,Hair - material (substance),0.0,Hair sinus (disorder),238496008
363698007,Finding site (attribute),39937001,Skin structure (body structure),0.0,Polymorphic light eruption (disorder),238525001
116676008,Associated morphology (attribute),1806006,Eruption (morphologic abnormality),0.0,Polymorphic light eruption (disorder),238525001
246075003,Causative agent (attribute),56242006,"Light, electromagnetic radiation (physical force)",0.0,Polymorphic light eruption (disorder),238525001
363698007,Finding site (attribute),39937001,Skin structure (body structure),1.0,Polymorphic light eruption (disorder),238525001
116676008,Associated morphology (attribute),409774005,Inflammatory morphology (morphologic abnormality),1.0,Polymorphic light eruption (disorder),238525001
246075003,Causative agent (attribute),56242006,"Light, electromagnetic radiation (physical force)",1.0,Polymorphic light eruption (disorder),238525001
246454002,Occurrence (attribute),255399007,Congenital (qualifier value),0.0,Hutchinson-Gilford syndrome (disorder),238870004
363698007,Finding site (attribute),39937001,Skin structure (body structure),1.0,Hutchinson-Gilford syndrome (disorder),238870004
363698007,Finding site (attribute),45292006,Vulval structure (body structure),0.0,Vulvodynia (disorder),238968009
260686004,Method (attribute),129377008,Reconstruction - action (qualifier value),0.0,Reconstruction of anterior cruciate ligament of knee joint (procedure),239431009
405813007,Procedure site - Direct (attribute),895007,Structure of anterior cruciate ligament of knee joint (body structure),0.0,Reconstruction of anterior cruciate ligament of knee joint (procedure),239431009
260686004,Method (attribute),129304002,Excision - action (qualifier value),0.0,Excision of colon (procedure),23968004
405813007,Procedure site - Direct (attribute),71854001,Colon structure (body structure),0.0,Excision of colon (procedure),23968004
363698007,Finding site (attribute),81745001,Structure of eye proper (body structure),0.0,Glaucoma (disorder),23986001
246454002,Occurrence (attribute),41847000,Adulthood (qualifier value),0.0,Adult onset Still's disease (disorder),239920006
363698007,Finding site (attribute),39352004,Joint structure (body structure),0.0,Adult onset Still's disease (disorder),239920006
116676008,Associated morphology (attribute),409777003,Chronic inflammatory morphology (morphologic abnormality),0.0,Adult onset Still's disease (disorder),239920006
263502005,Clinical course (attribute),90734009,Chronic (qualifier value),1.0,Adult onset Still's disease (disorder),239920006
363698007,Finding site (attribute),16982005,Shoulder region structure (body structure),0.0,Impingement syndrome of shoulder region (disorder),239960007
363698007,Finding site (attribute),272673000,Bone structure (body structure),0.0,Bone necrosis (disorder),240196003
116676008,Associated morphology (attribute),6574001,Necrosis (morphologic abnormality),0.0,Bone necrosis (disorder),240196003
363698007,Finding site (attribute),272673000,Bone structure (body structure),0.0,Stress fracture (disorder),240197007
116676008,Associated morphology (attribute),23382007,Stress fracture (morphologic abnormality),0.0,Stress fracture (disorder),240197007
116676008,Associated morphology (attribute),43865008,Acute hemorrhagic inflammation (morphologic abnormality),0.0,Viral hemorrhagic fever (disorder),240523007
370135005,Pathological process (attribute),441862004,Infectious process (qualifier value),0.0,Viral hemorrhagic fever (disorder),240523007
246075003,Causative agent (attribute),49872002,Virus (organism),0.0,Viral hemorrhagic fever (disorder),240523007
263502005,Clinical course (attribute),424124008,Sudden onset AND/OR short duration (qualifier value),1.0,Viral hemorrhagic fever (disorder),240523007
370135005,Pathological process (attribute),441862004,Infectious process (qualifier value),0.0,Human papillomavirus infection (disorder),240532009
246075003,Causative agent (attribute),9482002,Human papillomavirus (organism),0.0,Human papillomavirus infection (disorder),240532009
370135005,Pathological process (attribute),441862004,Infectious process (qualifier value),0.0,Typhus group rickettsial disease (disorder),240613006
246075003,Causative agent (attribute),415343008,"Rickettsia, typhus group (organism)",0.0,Typhus group rickettsial disease (disorder),240613006
363698007,Finding site (attribute),39937001,Skin structure (body structure),0.0,Atopic dermatitis (disorder),24079001
116676008,Associated morphology (attribute),409774005,Inflammatory morphology (morphologic abnormality),0.0,Atopic dermatitis (disorder),24079001
47429007,Associated with (attribute),115665000,Atopy (finding),1.0,Atopic dermatitis (disorder),24079001
260686004,Method (attribute),129433002,Inspection - action (qualifier value),0.0,Endoscopy of urinary bladder (procedure),24139008
405813007,Procedure site - Direct (attribute),89837001,Urinary bladder structure (body structure),0.0,Endoscopy of urinary bladder (procedure),24139008
424226004,Using device (attribute),20613002,"Cystoscope, device (physical object)",0.0,Endoscopy of urinary bladder (procedure),24139008
363698007,Finding site (attribute),113276009,Intestinal structure (body structure),0.0,Ascariasis (disorder),2435008
370135005,Pathological process (attribute),442614005,Parasitic process (qualifier value),0.0,Ascariasis (disorder),2435008
246075003,Causative agent (attribute),66953006,Ascaris (organism),0.0,Ascariasis (disorder),2435008
363698007,Finding site (attribute),113276009,Intestinal structure (body structure),0.0,Inflammatory bowel disease (disorder),24526004
116676008,Associated morphology (attribute),409774005,Inflammatory morphology (morphologic abnormality),0.0,Inflammatory bowel disease (disorder),24526004
363698007,Finding site (attribute),49549006,Structure of visual system (body structure),0.0,Lazy eye (finding),246623008
363698007,Finding site (attribute),21483005,Structure of central nervous system (body structure),0.0,Multiple sclerosis (disorder),24700007
116676008,Associated morphology (attribute),32693004,Demyelination (morphologic abnormality),0.0,Multiple sclerosis (disorder),24700007
370135005,Pathological process (attribute),769247005,Abnormal immune process (qualifier value),0.0,Multiple sclerosis (disorder),24700007
363698007,Finding site (attribute),21483005,Structure of central nervous system (body structure),1.0,Multiple sclerosis (disorder),24700007
116676008,Associated morphology (attribute),409774005,Inflammatory morphology (morphologic abnormality),1.0,Multiple sclerosis (disorder),24700007
370135005,Pathological process (attribute),769247005,Abnormal immune process (qualifier value),1.0,Multiple sclerosis (disorder),24700007
255234002,After (attribute),81723002,Amputation (procedure),0.0,Limb stump pain (finding),247381009
363698007,Finding site (attribute),38033009,Amputation stump (body structure),1.0,Limb stump pain (finding),247381009
363698007,Finding site (attribute),66019005,Limb structure (body structure),2.0,Limb stump pain (finding),247381009
363698007,Finding site (attribute),39937001,Skin structure (body structure),0.0,Weal (disorder),247472004
116676008,Associated morphology (attribute),1806006,Eruption (morphologic abnormality),0.0,Weal (disorder),247472004
363698007,Finding site (attribute),55690003,Structure of superficial vein (body structure),0.0,Superficial thrombophlebitis (disorder),2477008
116676008,Associated morphology (attribute),110433005,Inflammatory thrombosis (morphologic abnormality),0.0,Superficial thrombophlebitis (disorder),2477008
363714003,Interprets (attribute),363871006,Mental state (observable entity),0.0,Verbal auditory hallucinations (finding),247730001
263502005,Clinical course (attribute),21864008,Seasonal course (qualifier value),0.0,Seasonal affective disorder (disorder),247803002
363714003,Interprets (attribute),363896009,Behavior observable (observable entity),0.0,Compulsive hoarding (finding),247968005
363714003,Interprets (attribute),363871006,Mental state (observable entity),1.0,Compulsive hoarding (finding),247968005
363698007,Finding site (attribute),73897004,Skin structure of face (body structure),0.0,Wrinkled face (finding),248194004
116676008,Associated morphology (attribute),27367001,Wrinkled structure (morphologic abnormality),0.0,Wrinkled face (finding),248194004
363714003,Interprets (attribute),364530004,Skin texture (observable entity),1.0,Wrinkled face (finding),248194004
363714003,Interprets (attribute),248167003,Facial appearance (observable entity),2.0,Wrinkled face (finding),248194004
363698007,Finding site (attribute),39937001,Skin structure (body structure),0.0,Fatty dimpling of skin (finding),248306003
363698007,Finding site (attribute),72696002,Knee region structure (body structure),0.0,Swollen knee (finding),248491001
116676008,Associated morphology (attribute),442672001,Swelling (morphologic abnormality),0.0,Swollen knee (finding),248491001
363698007,Finding site (attribute),312166005,Structure of blood vessel of internal nose (body structure),0.0,Bleeding from nose (finding),249366005
116676008,Associated morphology (attribute),50960005,Hemorrhage (morphologic abnormality),0.0,Bleeding from nose (finding),249366005
363714003,Interprets (attribute),39211005,Bowel action (observable entity),0.0,Diarrhea and vomiting (finding),249519007
363713009,Has interpretation (attribute),18307000,Altered (qualifier value),0.0,Diarrhea and vomiting (finding),249519007
363698007,Finding site (attribute),122865005,Gastrointestinal tract structure (body structure),1.0,Diarrhea and vomiting (finding),249519007
363698007,Finding site (attribute),18234004,Optic nerve structure (body structure),0.0,Neuromyelitis optica (disorder),25044007
116676008,Associated morphology (attribute),32693004,Demyelination (morphologic abnormality),0.0,Neuromyelitis optica (disorder),25044007
370135005,Pathological process (attribute),769247005,Abnormal immune process (qualifier value),0.0,Neuromyelitis optica (disorder),25044007
363698007,Finding site (attribute),2748008,Spinal cord structure (body structure),1.0,Neuromyelitis optica (disorder),25044007
116676008,Associated morphology (attribute),32693004,Demyelination (morphologic abnormality),1.0,Neuromyelitis optica (disorder),25044007
370135005,Pathological process (attribute),769247005,Abnormal immune process (qualifier value),1.0,Neuromyelitis optica (disorder),25044007
363698007,Finding site (attribute),18234004,Optic nerve structure (body structure),2.0,Neuromyelitis optica (disorder),25044007
116676008,Associated morphology (attribute),409774005,Inflammatory morphology (morphologic abnormality),2.0,Neuromyelitis optica (disorder),25044007
370135005,Pathological process (attribute),769247005,Abnormal immune process (qualifier value),2.0,Neuromyelitis optica (disorder),25044007
363698007,Finding site (attribute),2748008,Spinal cord structure (body structure),3.0,Neuromyelitis optica (disorder),25044007
116676008,Associated morphology (attribute),409774005,Inflammatory morphology (morphologic abnormality),3.0,Neuromyelitis optica (disorder),25044007
370135005,Pathological process (attribute),769247005,Abnormal immune process (qualifier value),3.0,Neuromyelitis optica (disorder),25044007
363698007,Finding site (attribute),69536005,Head structure (body structure),0.0,Headache (finding),25064002
363704007,Procedure site (attribute),80891009,Heart structure (body structure),0.0,Cardioversion (procedure),250980009
363702006,Has focus (attribute),698247007,Cardiac arrhythmia (disorder),1.0,Cardioversion (procedure),250980009
363698007,Finding site (attribute),39937001,Skin structure (body structure),0.0,Pediculosis corporis (disorder),25188002
370135005,Pathological process (attribute),442614005,Parasitic process (qualifier value),0.0,Pediculosis corporis (disorder),25188002
246075003,Causative agent (attribute),84936006,Pediculus humanus (organism),0.0,Pediculosis corporis (disorder),25188002
363698007,Finding site (attribute),89837001,Urinary bladder structure (body structure),0.0,Female cystocele (disorder),252005008
116676008,Associated morphology (attribute),29696001,Prolapse (morphologic abnormality),0.0,Female cystocele (disorder),252005008
363698007,Finding site (attribute),263355003,Vaginal wall (body structure),1.0,Female cystocele (disorder),252005008
116676008,Associated morphology (attribute),29696001,Prolapse (morphologic abnormality),1.0,Female cystocele (disorder),252005008
260686004,Method (attribute),129449000,Functional assessment - action (qualifier value),0.0,Children's hearing test (procedure),252957005
405813007,Procedure site - Direct (attribute),91159003,Structure of auditory system (body structure),0.0,Children's hearing test (procedure),252957005
363703001,Has intent (attribute),261004008,Diagnostic intent (qualifier value),1.0,Children's hearing test (procedure),252957005
363698007,Finding site (attribute),56732008,Structure of hepatic duct (body structure),0.0,Klatskin's tumor (disorder),253017000
116676008,Associated morphology (attribute),70179006,Cholangiocarcinoma (morphologic abnormality),0.0,Klatskin's tumor (disorder),253017000
246454002,Occurrence (attribute),255399007,Congenital (qualifier value),0.0,Chiari malformation (disorder),253184003
363698007,Finding site (attribute),113305005,Cerebellar structure (body structure),0.0,Chiari malformation (disorder),253184003
116676008,Associated morphology (attribute),414403008,Herniated structure (morphologic abnormality),0.0,Chiari malformation (disorder),253184003
370135005,Pathological process (attribute),308490002,Pathological developmental process (qualifier value),0.0,Chiari malformation (disorder),253184003
246454002,Occurrence (attribute),255399007,Congenital (qualifier value),0.0,Atrioventricular septal defect and common atrioventricular junction (disorder),253414002
363698007,Finding site (attribute),14692001,Structure of atrioventricular septum (body structure),0.0,Atrioventricular septal defect and common atrioventricular junction (disorder),253414002
116676008,Associated morphology (attribute),396351009,Congenital septal defect (morphologic abnormality),0.0,Atrioventricular septal defect and common atrioventricular junction (disorder),253414002
370135005,Pathological process (attribute),308490002,Pathological developmental process (qualifier value),0.0,Atrioventricular septal defect and common atrioventricular junction (disorder),253414002
246454002,Occurrence (attribute),255399007,Congenital (qualifier value),1.0,Atrioventricular septal defect and common atrioventricular junction (disorder),253414002
363698007,Finding site (attribute),312522004,"Common (non-mitral, non-tricuspid) atrioventricular valve structure (body structure)",1.0,Atrioventricular septal defect and common atrioventricular junction (disorder),253414002
116676008,Associated morphology (attribute),49755003,Morphologically abnormal structure (morphologic abnormality),1.0,Atrioventricular septal defect and common atrioventricular junction (disorder),253414002
370135005,Pathological process (attribute),308490002,Pathological developmental process (qualifier value),1.0,Atrioventricular septal defect and common atrioventricular junction (disorder),253414002
363698007,Finding site (attribute),39057004,Pulmonary valve structure (body structure),0.0,Pulmonary atresia with intact ventricular septum (disorder),253590009
116676008,Associated morphology (attribute),410069005,Impatent structure (morphologic abnormality),0.0,Pulmonary atresia with intact ventricular septum (disorder),253590009
246454002,Occurrence (attribute),255399007,Congenital (qualifier value),0.0,Mullerian aplasia (disorder),253828000
363698007,Finding site (attribute),26896004,Structure of paramesonephric duct (body structure),0.0,Mullerian aplasia (disorder),253828000
116676008,Associated morphology (attribute),45486003,Aplasia (morphologic abnormality),0.0,Mullerian aplasia (disorder),253828000
370135005,Pathological process (attribute),308490002,Pathological developmental process (qualifier value),0.0,Mullerian aplasia (disorder),253828000
246454002,Occurrence (attribute),255399007,Congenital (qualifier value),0.0,Ichthyosis vulgaris (disorder),254157005
363698007,Finding site (attribute),181469002,Entire skin (body structure),0.0,Ichthyosis vulgaris (disorder),254157005
116676008,Associated morphology (attribute),26996000,Hyperkeratosis (morphologic abnormality),0.0,Ichthyosis vulgaris (disorder),254157005
370135005,Pathological process (attribute),308490002,Pathological developmental process (qualifier value),0.0,Ichthyosis vulgaris (disorder),254157005
363714003,Interprets (attribute),44138005,"Keratinization, function (observable entity)",1.0,Ichthyosis vulgaris (disorder),254157005
363713009,Has interpretation (attribute),263654008,Abnormal (qualifier value),1.0,Ichthyosis vulgaris (disorder),254157005
363698007,Finding site (attribute),39937001,Skin structure (body structure),0.0,Squamous cell carcinoma in situ of skin (disorder),254656002
116676008,Associated morphology (attribute),84999002,Bowen's disease (morphologic abnormality),0.0,Squamous cell carcinoma in situ of skin (disorder),254656002
363698007,Finding site (attribute),76752008,Breast structure (body structure),0.0,Malignant neoplasm of breast (disorder),254837009
116676008,Associated morphology (attribute),367651003,"Malignant neoplasm of primary, secondary, or uncertain origin (morphologic abnormality)",0.0,Malignant neoplasm of breast (disorder),254837009
363698007,Finding site (attribute),41216001,Prostatic structure (body structure),0.0,Carcinoma of prostate (disorder),254900004
116676008,Associated morphology (attribute),68453008,"Carcinoma, no subtype (morphologic abnormality)",0.0,Carcinoma of prostate (disorder),254900004
363698007,Finding site (attribute),128319008,Intracranial structure (body structure),0.0,Intracranial tumor (disorder),254935002
116676008,Associated morphology (attribute),108369006,Neoplasm (morphologic abnormality),0.0,Intracranial tumor (disorder),254935002
363714003,Interprets (attribute),285854004,Emotion (observable entity),0.0,Social phobia (disorder),25501002
116676008,Associated morphology (attribute),128928004,Neuroendocrine neoplasm (morphologic abnormality),0.0,Neuroendocrine tumor (disorder),255046005
363714003,Interprets (attribute),364075005,Heart rate (observable entity),0.0,Ventricular tachycardia (disorder),25569003
363713009,Has interpretation (attribute),35105006,Increased (qualifier value),0.0,Ventricular tachycardia (disorder),25569003
363698007,Finding site (attribute),277943000,Ventricular conducting pathway (body structure),1.0,Ventricular tachycardia (disorder),25569003
260686004,Method (attribute),360270004,Therapy - action (qualifier value),0.0,Photodynamic therapy (procedure),257891001
424244007,Using energy (attribute),56242006,"Light, electromagnetic radiation (physical force)",0.0,Photodynamic therapy (procedure),257891001
246454002,Occurrence (attribute),255399007,Congenital (qualifier value),0.0,Complete transposition of great vessels (disorder),26146002
363698007,Finding site (attribute),81040000,Pulmonary artery structure (body structure),0.0,Complete transposition of great vessels (disorder),26146002
116676008,Associated morphology (attribute),27317008,Complete transposition (morphologic abnormality),0.0,Complete transposition of great vessels (disorder),26146002
370135005,Pathological process (attribute),308490002,Pathological developmental process (qualifier value),0.0,Complete transposition of great vessels (disorder),26146002
246454002,Occurrence (attribute),255399007,Congenital (qualifier value),1.0,Complete transposition of great vessels (disorder),26146002
363698007,Finding site (attribute),15825003,Aortic structure (body structure),1.0,Complete transposition of great vessels (disorder),26146002
116676008,Associated morphology (attribute),27317008,Complete transposition (morphologic abnormality),1.0,Complete transposition of great vessels (disorder),26146002
370135005,Pathological process (attribute),308490002,Pathological developmental process (qualifier value),1.0,Complete transposition of great vessels (disorder),26146002
246454002,Occurrence (attribute),255399007,Congenital (qualifier value),2.0,Complete transposition of great vessels (disorder),26146002
363698007,Finding site (attribute),80891009,Heart structure (body structure),2.0,Complete transposition of great vessels (disorder),26146002
116676008,Associated morphology (attribute),783804002,Abnormal communication (morphologic abnormality),2.0,Complete transposition of great vessels (disorder),26146002
370135005,Pathological process (attribute),308490002,Pathological developmental process (qualifier value),2.0,Complete transposition of great vessels (disorder),26146002
363698007,Finding site (attribute),123851003,Mouth region structure (body structure),0.0,Ulcer of mouth (disorder),26284000
116676008,Associated morphology (attribute),56208002,Ulcer (morphologic abnormality),0.0,Ulcer of mouth (disorder),26284000
363714003,Interprets (attribute),81065003,pH measurement (procedure),0.0,Diabetic coma with ketoacidosis (disorder),26298008
363713009,Has interpretation (attribute),281300000,Below reference range (qualifier value),0.0,Diabetic coma with ketoacidosis (disorder),26298008
42752001,Due to (attribute),73211009,Diabetes mellitus (disorder),1.0,Diabetic coma with ketoacidosis (disorder),26298008
363698007,Finding site (attribute),12738006,Brain structure (body structure),2.0,Diabetic coma with ketoacidosis (disorder),26298008
363714003,Interprets (attribute),401156005,Plasma osmolality (observable entity),3.0,Diabetic coma with ketoacidosis (disorder),26298008
363713009,Has interpretation (attribute),281302008,Above reference range (qualifier value),3.0,Diabetic coma with ketoacidosis (disorder),26298008
363714003,Interprets (attribute),33747003,"Glucose measurement, blood (procedure)",4.0,Diabetic coma with ketoacidosis (disorder),26298008
363713009,Has interpretation (attribute),281302008,Above reference range (qualifier value),4.0,Diabetic coma with ketoacidosis (disorder),26298008
363698007,Finding site (attribute),129160003,Structure of patellofemoral joint (body structure),0.0,Dislocation of patellofemoral joint (disorder),263029007
116676008,Associated morphology (attribute),87642003,Dislocation (morphologic abnormality),0.0,Dislocation of patellofemoral joint (disorder),263029007
363698007,Finding site (attribute),74386004,Nasal bone structure (body structure),0.0,Fractured nasal bones (disorder),263171005
116676008,Associated morphology (attribute),771485007,Fracture of multiple bones (morphologic abnormality),0.0,Fractured nasal bones (disorder),263171005
363698007,Finding site (attribute),310651003,Bone structure of proximal femur (body structure),0.0,Fracture of proximal end of femur (disorder),263225007
116676008,Associated morphology (attribute),72704001,Fracture (morphologic abnormality),0.0,Fracture of proximal end of femur (disorder),263225007
260686004,Method (attribute),129325002,Introduction - action (qualifier value),0.0,Intrauterine artificial insemination (procedure),265064001
405814001,Procedure site - Indirect (attribute),52393002,Endometrial cavity structure (body structure),0.0,Intrauterine artificial insemination (procedure),265064001
363701004,Direct substance (attribute),6993007,Seminal fluid (substance),0.0,Intrauterine artificial insemination (procedure),265064001
370135005,Pathological process (attribute),441862004,Infectious process (qualifier value),0.0,Methicillin resistant Staphylococcus aureus infection (disorder),266096002
246075003,Causative agent (attribute),115329001,Methicillin resistant Staphylococcus aureus (organism),0.0,Methicillin resistant Staphylococcus aureus infection (disorder),266096002
363698007,Finding site (attribute),60496002,Skin structure of foot (body structure),0.0,Hand foot and mouth disease (disorder),266108008
370135005,Pathological process (attribute),441862004,Infectious process (qualifier value),0.0,Hand foot and mouth disease (disorder),266108008
246075003,Causative agent (attribute),53744000,Human coxsackievirus A (organism),0.0,Hand foot and mouth disease (disorder),266108008
363698007,Finding site (attribute),33712006,Skin structure of hand (body structure),1.0,Hand foot and mouth disease (disorder),266108008
370135005,Pathological process (attribute),441862004,Infectious process (qualifier value),1.0,Hand foot and mouth disease (disorder),266108008
246075003,Causative agent (attribute),53744000,Human coxsackievirus A (organism),1.0,Hand foot and mouth disease (disorder),266108008
363698007,Finding site (attribute),113277000,Oral mucous membrane structure (body structure),2.0,Hand foot and mouth disease (disorder),266108008
116676008,Associated morphology (attribute),72095004,Vesicular inflammation (morphologic abnormality),2.0,Hand foot and mouth disease (disorder),266108008
370135005,Pathological process (attribute),441862004,Infectious process (qualifier value),2.0,Hand foot and mouth disease (disorder),266108008
246075003,Causative agent (attribute),53744000,Human coxsackievirus A (organism),2.0,Hand foot and mouth disease (disorder),266108008
363698007,Finding site (attribute),60944009,Skin structure of external genitalia (body structure),0.0,Genital warts (disorder),266113007
116676008,Associated morphology (attribute),30285000,Verruca (morphologic abnormality),0.0,Genital warts (disorder),266113007
370135005,Pathological process (attribute),441862004,Infectious process (qualifier value),0.0,Genital warts (disorder),266113007
246075003,Causative agent (attribute),9482002,Human papillomavirus (organism),0.0,Genital warts (disorder),266113007
263502005,Clinical course (attribute),14803004,Transitory (qualifier value),0.0,Transient ischemic attack (disorder),266257000
363698007,Finding site (attribute),28661005,Cerebrovascular system structure (body structure),1.0,Transient ischemic attack (disorder),266257000
363698007,Finding site (attribute),41216001,Prostatic structure (body structure),0.0,Benign prostatic hyperplasia (disorder),266569009
116676008,Associated morphology (attribute),84050003,Glandular and stromal hyperplasia (morphologic abnormality),0.0,Benign prostatic hyperplasia (disorder),266569009
363698007,Finding site (attribute),35039007,Uterine structure (body structure),0.0,Dysmenorrhea (disorder),266599000
260686004,Method (attribute),129445006,Administration - action (qualifier value),0.0,Hormone replacement therapy (procedure),266717002
363701004,Direct substance (attribute),87568004,Hormone (substance),0.0,Hormone replacement therapy (procedure),266717002
363703001,Has intent (attribute),262202000,Therapeutic intent (qualifier value),1.0,Hormone replacement therapy (procedure),266717002
116676008,Associated morphology (attribute),79654002,Edema (morphologic abnormality),0.0,Edema (finding),267038008
363714003,Interprets (attribute),311465003,Cognitive functions (observable entity),0.0,Suicidal (finding),267073005
363714003,Interprets (attribute),363870007,"Mental state, behavior / psychosocial function observable (observable entity)",1.0,Suicidal (finding),267073005
363698007,Finding site (attribute),82859000,Macula lutea structure (body structure),0.0,Age-related macular degeneration (disorder),267718000
116676008,Associated morphology (attribute),107669003,Degenerative abnormality (morphologic abnormality),0.0,Age-related macular degeneration (disorder),267718000
370135005,Pathological process (attribute),263680009,Autoimmune process (qualifier value),0.0,Antiphospholipid syndrome (disorder),26843008
246075003,Causative agent (attribute),259916004,Anti-phospholipid autoantibody (substance),0.0,Antiphospholipid syndrome (disorder),26843008
363714003,Interprets (attribute),74848003,Hemostatic function (observable entity),1.0,Antiphospholipid syndrome (disorder),26843008
363713009,Has interpretation (attribute),263654008,Abnormal (qualifier value),1.0,Antiphospholipid syndrome (disorder),26843008
260686004,Method (attribute),129265001,Evaluation - action (qualifier value),0.0,Screening for malignant neoplasm of breast (procedure),268547008
363702006,Has focus (attribute),254837009,Malignant neoplasm of breast (disorder),1.0,Screening for malignant neoplasm of breast (procedure),268547008
363703001,Has intent (attribute),360156006,Screening - procedure intent (qualifier value),2.0,Screening for malignant neoplasm of breast (procedure),268547008
363698007,Finding site (attribute),127954009,Skeletal muscle structure (body structure),0.0,Myositis (disorder),26889001
116676008,Associated morphology (attribute),409774005,Inflammatory morphology (morphologic abnormality),0.0,Myositis (disorder),26889001
363698007,Finding site (attribute),83678007,Structure of cerebrum (body structure),0.0,Alzheimer's disease (disorder),26929004
116676008,Associated morphology (attribute),107669003,Degenerative abnormality (morphologic abnormality),0.0,Alzheimer's disease (disorder),26929004
363714003,Interprets (attribute),311465003,Cognitive functions (observable entity),1.0,Alzheimer's disease (disorder),26929004
363713009,Has interpretation (attribute),260379002,Impaired (qualifier value),1.0,Alzheimer's disease (disorder),26929004
363698007,Finding site (attribute),59820001,Blood vessel structure (body structure),0.0,Air embolism (disorder),271376002
116676008,Associated morphology (attribute),36207003,Air embolus (morphologic abnormality),0.0,Air embolism (disorder),271376002
370135005,Pathological process (attribute),441862004,Infectious process (qualifier value),0.0,Infectious mononucleosis (disorder),271558008
246075003,Causative agent (attribute),128377001,Family Herpesviridae (organism),0.0,Infectious mononucleosis (disorder),271558008
363714003,Interprets (attribute),441689006,Measurement of total hemoglobin concentration (procedure),0.0,Anemia (disorder),271737000
363713009,Has interpretation (attribute),281300000,Below reference range (qualifier value),0.0,Anemia (disorder),271737000
363714003,Interprets (attribute),14089001,Red blood cell count (procedure),1.0,Anemia (disorder),271737000
363713009,Has interpretation (attribute),281300000,Below reference range (qualifier value),1.0,Anemia (disorder),271737000
363698007,Finding site (attribute),39937001,Skin structure (body structure),0.0,Eruption of skin (disorder),271807003
116676008,Associated morphology (attribute),1806006,Eruption (morphologic abnormality),0.0,Eruption of skin (disorder),271807003
363698007,Finding site (attribute),56971001,Structure of ligament of acromioclavicular joint (body structure),0.0,Sprain of acromioclavicular ligament (disorder),27182002
116676008,Associated morphology (attribute),384709000,Sprain (morphologic abnormality),0.0,Sprain of acromioclavicular ligament (disorder),27182002
42752001,Due to (attribute),773760007,Traumatic event (event),1.0,Sprain of acromioclavicular ligament (disorder),27182002
363698007,Finding site (attribute),81745001,Structure of eye proper (body structure),0.0,Malignant melanoma of eye (disorder),274087000
116676008,Associated morphology (attribute),372156000,Malignant melanoma - category (morphologic abnormality),0.0,Malignant melanoma of eye (disorder),274087000
363698007,Finding site (attribute),414781009,Mucous membrane structure (body structure),0.0,Leukoplakia (disorder),274134003
116676008,Associated morphology (attribute),50978000,Leukoplakia (morphologic abnormality),0.0,Leukoplakia (disorder),274134003
363698007,Finding site (attribute),181780001,Fascia of hand (body structure),0.0,Dupuytren's contracture (disorder),274142002
116676008,Associated morphology (attribute),57048009,Contracture (morphologic abnormality),0.0,Dupuytren's contracture (disorder),274142002
363698007,Finding site (attribute),181780001,Fascia of hand (body structure),1.0,Dupuytren's contracture (disorder),274142002
116676008,Associated morphology (attribute),703611003,Palmar/plantar type fibromatosis (morphologic abnormality),1.0,Dupuytren's contracture (disorder),274142002
363698007,Finding site (attribute),420345000,Structure of vertebra (body structure),0.0,Spondylolisthesis (disorder),274152003
116676008,Associated morphology (attribute),76093008,Anterior displacement (morphologic abnormality),0.0,Spondylolisthesis (disorder),274152003
363698007,Finding site (attribute),2550002,Bone structure of phalanx of thumb (body structure),0.0,Fracture of phalanx of thumb (disorder),274160002
116676008,Associated morphology (attribute),72704001,Fracture (morphologic abnormality),0.0,Fracture of phalanx of thumb (disorder),274160002
363698007,Finding site (attribute),76752008,Breast structure (body structure),0.0,Fibrocystic breast changes (finding),27431007
