snomedConcept,snomedIdentifier,descendantId,descendantConcept,query,propagation
Plagiocephaly (disorder),21850008,293291000119108,Acquired postural plagiocephaly (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<89546000|Bone structure of cranium (body structure)|,116676008|Associated morphology (attribute)| = 6081001|Deformity (morphologic abnormality)|})&limit=7000",17
Osler hemorrhagic telangiectasia syndrome (disorder),21877004,21877004,Osler hemorrhagic telangiectasia syndrome (disorder),"(*):  ([1..1]{246454002|Occurrence (attribute)| = 255399007|Congenital (qualifier value)|,363698007|Finding site (attribute)| = <<360599008|Microscopic skin vascular structure (body structure)|,116676008|Associated morphology (attribute)| = 112641009|Telangiectasis (morphologic abnormality)|,370135005|Pathological process (attribute)| = 308490002|Pathological developmental process (qualifier value)|} AND [1..1]{246454002|Occurrence (attribute)| = 255399007|Congenital (qualifier value)|,116676008|Associated morphology (attribute)| = 51398009|Hamartoma (morphologic abnormality)|,370135005|Pathological process (attribute)| = 308490002|Pathological developmental process (qualifier value)|} AND [1..1]{246454002|Occurrence (attribute)| = 255399007|Congenital (qualifier value)|,363698007|Finding site (attribute)| = <<59820001|Blood vessel structure (body structure)|,116676008|Associated morphology (attribute)| = 24551003|Arteriovenous malformation (morphologic abnormality)|,370135005|Pathological process (attribute)| = 308490002|Pathological developmental process (qualifier value)|})&limit=7000",1
Herpes zoster auricularis (disorder),21954000,21954000,Herpes zoster auricularis (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<1902009|Skin structure of ear (body structure)|,116676008|Associated morphology (attribute)| = 72095004|Vesicular inflammation (morphologic abnormality)|,370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|,246075003|Causative agent (attribute)| = 19551004|Human alphaherpesvirus 3 (organism)|} AND [1..1]{255234002|After (attribute)| = 38907003|Varicella (disorder)|} AND [1..1]{363698007|Finding site (attribute)| = <<113312001|Structure of geniculate ganglion (body structure)|})&limit=7000",1
Hashimoto thyroiditis (disorder),21983002,27538003,Hyperthyroidism with Hashimoto disease (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<69748006|Thyroid structure (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|,370135005|Pathological process (attribute)| = 263680009|Autoimmune process (qualifier value)|} AND [1..1]{263502005|Clinical course (attribute)| = 90734009|Chronic (qualifier value)|})&limit=7000",2
Mammary duct ectasia (disorder),22049009,10735371000119106,Mammary duct ectasia of left breast (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<64633006|Lactiferous duct structure (body structure)|,116676008|Associated morphology (attribute)| = 25322007|Dilatation (morphologic abnormality)|})&limit=7000",3
Klinefelter syndrome (disorder),22053006,783735004,Maternal uniparental disomy of chromosome X (disorder),"(*):  ([1..1]{246454002|Occurrence (attribute)| = 255399007|Congenital (qualifier value)|,363698007|Finding site (attribute)| = <<72837006|Sex chromosome X (cell structure)|,116676008|Associated morphology (attribute)| = 41669009|Alteration of chromosome structure (morphologic abnormality)|})&limit=7000",9
Nail-patella syndrome (disorder),22199006,22199006,Nail-patella syndrome (disorder),"(*):  ([1..1]{246454002|Occurrence (attribute)| = 255399007|Congenital (qualifier value)|,363698007|Finding site (attribute)| = <<770802007|Nail unit structure (body structure)|,116676008|Associated morphology (attribute)| = 49755003|Morphologically abnormal structure (morphologic abnormality)|,370135005|Pathological process (attribute)| = 308490002|Pathological developmental process (qualifier value)|} AND [1..1]{246454002|Occurrence (attribute)| = 255399007|Congenital (qualifier value)|,363698007|Finding site (attribute)| = <<64234005|Bone structure of patella (body structure)|,116676008|Associated morphology (attribute)| = 25723000|Dysplasia (morphologic abnormality)|,370135005|Pathological process (attribute)| = 308490002|Pathological developmental process (qualifier value)|})&limit=7000",1
Genuine stress incontinence (finding),22220005,768991009,Childhood double incontinence (finding),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<89837001|Urinary bladder structure (body structure)|} AND [1..1]{363714003|Interprets (attribute)| = 129009001|Bladder control, function (observable entity)|})&limit=7000",28
Myocardial infarction (disorder),22298006,726499301000119105,Myocardial infarction due to atherothrombotic coronary artery disease (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<74281007|Myocardium structure (body structure)|,116676008|Associated morphology (attribute)| = 55641003|Infarct (morphologic abnormality)|})&limit=7000",21
Abnormal grief reaction to life event (finding),225021007,44911000119109,Bereavement in remission (finding),(*):  ([1..1]{363714003|Interprets (attribute)| = 285854004|Emotion (observable entity)|} AND [1..1]{363714003|Interprets (attribute)| = 160476009|Social / personal history observable (observable entity)|} AND [1..1]{418775008|Finding method (attribute)| = <<84100007|History taking (procedure)|})&limit=7000,18
Vasectomy (procedure),22523008,1119338001,Segmental excision and ligation of right vas deferens (procedure),"(*):  ([1..1]{260686004|Method (attribute)| = 129304002|Excision - action (qualifier value)|,405813007|Procedure site - Direct (attribute)| = <<57671007|Vas deferens structure (body structure)|})&limit=7000",10
Transcutaneous electrical nerve stimulation (regime/therapy),229559001,868249004,Stimulation of hypoglossal nerve for sleep apnea (procedure),"(*):  ([1..1]{260686004|Method (attribute)| = 129272000|Stimulation - action (qualifier value)|,405813007|Procedure site - Direct (attribute)| = <<3057000|Nerve structure (body structure)|,424226004|Using device (attribute)| = 25937001|Neurostimulator, device (physical object)|})&limit=7000",39
Developmental verbal dyspraxia (disorder),229703009,89361000119103,Mild developmental articulation disorder (disorder),"(*):  ([1..1]{363714003|Interprets (attribute)| = 288547000|Ability to perform functions related to communication (observable entity)|,363713009|Has interpretation (attribute)| = 263654008|Abnormal (qualifier value)|} AND [1..1]{370135005|Pathological process (attribute)| = 308490002|Pathological developmental process (qualifier value)|})&limit=7000",53
Frontotemporal dementia (disorder),230270009,82351000119105,Altered behavior co-occurrent and due to Pick's disease (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<78277001|Temporal lobe structure (body structure)|,116676008|Associated morphology (attribute)| = 107669003|Degenerative abnormality (morphologic abnormality)|} AND [1..1]{363698007|Finding site (attribute)| = <<83251001|Frontal lobe structure (body structure)|,116676008|Associated morphology (attribute)| = 107669003|Degenerative abnormality (morphologic abnormality)|})&limit=7000",15
Post-traumatic dementia (disorder),230282000,698687007,Post-traumatic dementia with behavioral change (disorder),"(*):  ([1..1]{363714003|Interprets (attribute)| = 311465003|Cognitive functions (observable entity)|,363713009|Has interpretation (attribute)| = 260379002|Impaired (qualifier value)|} AND [1..1]{42752001|Due to (attribute)| = 773760007|Traumatic event (event)|} AND [1..1]{363698007|Finding site (attribute)| = <<12738006|Brain structure (body structure)|,116676008|Associated morphology (attribute)| = 37782003|Damage (morphologic abnormality)|} AND [1..1]{255234002|After (attribute)| = 773760007|Traumatic event (event)|})&limit=7000",4
Multiple system atrophy (disorder),230297002,783198006,Hereditary sensory and autonomic neuropathy due to tectonin beta-propeller repeat containing 2 mutation (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<21483005|Structure of central nervous system (body structure)|,116676008|Associated morphology (attribute)| = 107669003|Degenerative abnormality (morphologic abnormality)|} AND [1..1]{363698007|Finding site (attribute)| = <<72167002|Autonomic nervous system structure (body structure)|})&limit=7000",6
Hereditary liability to pressure palsies (disorder),230558006,16864831000119104,Lumbar radiculitis (disorder),(*):  ([1..1]{363698007|Finding site (attribute)| = <<3057000|Nerve structure (body structure)|} AND [1..1]{363698007|Finding site (attribute)| = <<3058005|Peripheral nervous system structure (body structure)|})&limit=7000,1293
Neuropathy co-occurrent and due to diabetes mellitus (disorder),230572002,860883001,Generalized autonomic neuropathy due to diabetes mellitus (disorder),(*):  ([1..1]{363698007|Finding site (attribute)| = <<3057000|Nerve structure (body structure)|} AND [1..1]{42752001|Due to (attribute)| = 73211009|Diabetes mellitus (disorder)|})&limit=7000,33
Cerebrovascular accident (disorder),230690007,936648941000119105,Acute cerebrovascular accident due to embolism of left middle cerebral artery (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<12738006|Brain structure (body structure)|,116676008|Associated morphology (attribute)| = 37782003|Damage (morphologic abnormality)|} AND [1..1]{363698007|Finding site (attribute)| = <<28661005|Cerebrovascular system structure (body structure)|})&limit=7000",76
Transient global amnesia (finding),230736007,16703821000119101,Memory deficit due to and following hemorrhagic cerebrovascular accident (disorder),"(*):  ([1..1]{363714003|Interprets (attribute)| = 363888004|Memory performance (observable entity)|,363713009|Has interpretation (attribute)| = 260379002|Impaired (qualifier value)|} AND [1..1]{363714003|Interprets (attribute)| = 363870007|Mental state, behavior / psychosocial function observable (observable entity)|})&limit=7000",30
Hydrocephalus (disorder),230745008,23931000119104,Hydrocephalus due to Arnold Chiari malformation type 2 (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<280371009|Brain cerebrospinal fluid pathway (body structure)|,116676008|Associated morphology (attribute)| = 25322007|Dilatation (morphologic abnormality)|})&limit=7000",76
Complete obstruction of lacrimal canaliculus (disorder),231839000,253205005,Congenital blocked tear duct (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<32401001|Lacrimal canaliculus structure (body structure)|,116676008|Associated morphology (attribute)| = 50173008|Complete obstruction (morphologic abnormality)|})&limit=7000",2
Menstrual migraine (disorder),23186000,124171000119105,Chronic intractable migraine without aura (disorder),(*):  ([1..1]{363698007|Finding site (attribute)| = <<280369009|Brain tissue structure (body structure)|} AND [1..1]{363698007|Finding site (attribute)| = <<281231009|Vascular structure of head (body structure)|})&limit=7000,40
Macular hole (disorder),232006002,677961000119106,Full thickness macular hole of right eye (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<82859000|Macula lutea structure (body structure)|,116676008|Associated morphology (attribute)| = 708041002|Mechanical lesion (morphologic abnormality)|})&limit=7000",7
Allergy to animal dander (finding),232347008,232347008,Allergy to animal dander (finding),"(*):  ([1..1]{719722006|Has realization (attribute)| = 472964009|Allergic process (qualifier value)|,246075003|Causative agent (attribute)| = 264287008|Animal dander (substance)|})&limit=7000",1
Allergy to dust mite protein (finding),232350006,232350006,Allergy to dust mite protein (finding),"(*):  ([1..1]{719722006|Has realization (attribute)| = 472964009|Allergic process (qualifier value)|,246075003|Causative agent (attribute)| = 720687003|Dust mite protein (substance)|})&limit=7000",1
Coronary artery bypass grafting (procedure),232717009,1017205003,Anastomosis of left internal thoracic artery to obtuse marginal branch of circumflex branch of left coronary artery (procedure),"(*):  ([1..1]{260686004|Method (attribute)| = 360021005|Bypass - action (qualifier value)|,405813007|Procedure site - Direct (attribute)| = <<41801008|Coronary artery structure (body structure)|})&limit=7000",67
Hysteroscopy (procedure),233545006,713172009,Hysteroscopy with division of intrauterine septum (procedure),"(*):  ([1..1]{260686004|Method (attribute)| = 129433002|Inspection - action (qualifier value)|,405813007|Procedure site - Direct (attribute)| = <<35039007|Uterine structure (body structure)|,424226004|Using device (attribute)| = 257220003|Hysteroscope (physical object)|})&limit=7000",13
Pneumonia (disorder),233604007,882784691000119100,Pneumonia caused by Severe acute respiratory syndrome coronavirus 2 (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<39607008|Lung structure (body structure)|,116676008|Associated morphology (attribute)| = 707496003|Inflammation and consolidation (morphologic abnormality)|})&limit=7000",219
Childhood asthma (disorder),233678006,16275741000119100,Severe pediatric obstructive sleep apnea (disorder),(*):  ([1..1]{246454002|Occurrence (attribute)| = 255398004|Childhood (qualifier value)|} AND [1..1]{363698007|Finding site (attribute)| = <<89187006|Airway structure (body structure)|})&limit=7000,3
Hypertrophic cardiomyopathy (disorder),233873004,890122001,Hypertrophic cardiomyopathy due to disorder (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<74281007|Myocardium structure (body structure)|,116676008|Associated morphology (attribute)| = 56246009|Hypertrophy (morphologic abnormality)|})&limit=7000",32
Popliteal entrapment syndrome (disorder),233978009,233978009,Popliteal entrapment syndrome (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<59820001|Blood vessel structure (body structure)|,116676008|Associated morphology (attribute)| = 363563002|Entrapment (morphologic abnormality)|} AND [1..1]{363698007|Finding site (attribute)| = <<43899006|Structure of popliteal artery (body structure)|,116676008|Associated morphology (attribute)| = 71173004|Compression (morphologic abnormality)|})&limit=7000",1
Abdominal aortic aneurysm (disorder),233985008,871536000,Aneurysm of pararenal aorta (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<7832008|Abdominal aorta structure (body structure)|,116676008|Associated morphology (attribute)| = 85659009|Aneurysm (morphologic abnormality)|})&limit=7000",13
Fracture of upper limb (disorder),23406007,16250001000004107,Fracture of shoulder (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<371195002|Bone structure of upper limb (body structure)|,116676008|Associated morphology (attribute)| = 72704001|Fracture (morphologic abnormality)|})&limit=7000",130
Lipedema (disorder),234102003,238923001,Lipedematous alopecia (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<67769002|Subcutaneous fatty tissue (body structure)|,116676008|Associated morphology (attribute)| = 79654002|Edema (morphologic abnormality)|})&limit=7000",2
Cerebral arteriovenous malformation (disorder),234142008,721979005,Lymphedema and cerebral arteriovenous anomaly syndrome (disorder),"(*):  ([1..1]{246454002|Occurrence (attribute)| = 255399007|Congenital (qualifier value)|,363698007|Finding site (attribute)| = <<281138005|Intracranial vascular structure (body structure)|,116676008|Associated morphology (attribute)| = 24551003|Arteriovenous malformation (morphologic abnormality)|,370135005|Pathological process (attribute)| = 308490002|Pathological developmental process (qualifier value)|})&limit=7000",7
Hemopoietic stem cell transplant (procedure),234336002,278256002,Cord cell transfusion (procedure),"(*):  ([1..1]{260686004|Method (attribute)| = 129406001|Transplantation - action (qualifier value)|,405814001|Procedure site - Indirect (attribute)| = 14016003|Bone marrow structure (body structure)|,363701004|Direct substance (attribute)| = 414265000|Fluid containing hemopoietic stem cells (substance)|})&limit=7000",2
Thrombophilia (disorder),234467004,16623961000119100,Pancytopenia caused by immunosuppressant (disorder),"(*):  ([1..1]{363714003|Interprets (attribute)| = 74848003|Hemostatic function (observable entity)|,363713009|Has interpretation (attribute)| = 263654008|Abnormal (qualifier value)|})&limit=7000",528
Lyme disease (disorder),23502006,840496004,Encephalitis caused by Borrelia species (disorder),"(*):  ([1..1]{370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|,246075003|Causative agent (attribute)| = 112277009|Genus Borrelia (organism)|})&limit=7000",23
Osteophyte of bone (disorder),235231000119100,316711000119106,Osteophyte of vertebra (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<272673000|Bone structure (body structure)|,116676008|Associated morphology (attribute)| = 88998003|Osteophyte (morphologic abnormality)|})&limit=7000",19
Chronic pancreatitis (disorder),235494005,154211000119108,Chronic pancreatitis due to chronic alcoholism (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<15776009|Pancreatic structure (body structure)|,116676008|Associated morphology (attribute)| = 409777003|Chronic inflammatory morphology (morphologic abnormality)|} AND [1..1]{263502005|Clinical course (attribute)| = 90734009|Chronic (qualifier value)|})&limit=7000",14
Eosinophilic esophagitis (disorder),235599003,770592009,Proton pump inhibitor responsive eosinophilic esophagitis (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<32849002|Esophageal structure (body structure)|,116676008|Associated morphology (attribute)| = 16759001|Chronic eosinophilic inflammation (morphologic abnormality)|} AND [1..1]{263502005|Clinical course (attribute)| = 90734009|Chronic (qualifier value)|})&limit=7000",4
Gallbladder calculus (disorder),235919008,10754781000119108,Gallbladder calculus in mother complicating childbirth (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<28231008|Gallbladder structure (body structure)|,116676008|Associated morphology (attribute)| = 56381008|Calculus (morphologic abnormality)|})&limit=7000",17
Hysterectomy (procedure),236886002,860602007,Postpartum excision of uterus (procedure),"(*):  ([1..1]{260686004|Method (attribute)| = 129304002|Excision - action (qualifier value)|,405813007|Procedure site - Direct (attribute)| = <<35039007|Uterine structure (body structure)|})&limit=7000",124
Polycystic ovary syndrome (disorder),237055002,830053004,Polycystic ovary syndrome of left ovary (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<304043001|Ovarian endocrine structure (body structure)|,116676008|Associated morphology (attribute)| = 3679006|Polycystic change (morphologic abnormality)|} AND [1..1]{42752001|Due to (attribute)| = 131074001|Increased androgen level (finding)|})&limit=7000",3
Chronic pain in female pelvis (finding),237067000,16580691000119107,Chronic urinary bladder pain (finding),(*):  ([1..1]{263502005|Clinical course (attribute)| = 90734009|Chronic (qualifier value)|} AND [1..1]{363698007|Finding site (attribute)| = <<12921003|Structure of pelvis (body structure)|})&limit=7000,70
Cervical dystocia (finding),237324001,237324001,Cervical dystocia (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<71252005|Cervix uteri structure (body structure)|} AND [1..1]{363698007|Finding site (attribute)| = <<8389004|Structure of obstetrical canal (body structure)|,116676008|Associated morphology (attribute)| = 26036001|Obstruction (morphologic abnormality)|} AND [1..1]{363714003|Interprets (attribute)| = 364320009|Pregnancy observable (observable entity)|})&limit=7000",1
Thyroid nodule (disorder),237495005,419153005,Nodular goiter (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<69748006|Thyroid structure (body structure)|,116676008|Associated morphology (attribute)| = 36195005|Nodular hyperplasia (morphologic abnormality)|} AND [1..1]{363698007|Finding site (attribute)| = <<181117000|Entire thyroid gland (body structure)|,116676008|Associated morphology (attribute)| = 442021009|Enlargement (morphologic abnormality)|})&limit=7000",9
Sheehan's syndrome (disorder),237684005,290653008,Postpartum hypopituitarism (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<52618001|Structure of pars distalis of pituitary (body structure)|,116676008|Associated morphology (attribute)| = 6574001|Necrosis (morphologic abnormality)|})&limit=7000",2
Congenital adrenal hyperplasia (disorder),237751000,250591000119109,Salt-losing congenital adrenal hyperplasia with virilism (disorder),"(*):  ([1..1]{246454002|Occurrence (attribute)| = 255399007|Congenital (qualifier value)|,363698007|Finding site (attribute)| = <<68594002|Adrenal cortex structure (body structure)|,116676008|Associated morphology (attribute)| = 76197007|Hyperplasia (morphologic abnormality)|,370135005|Pathological process (attribute)| = 308490002|Pathological developmental process (qualifier value)|})&limit=7000",21
Primordial dwarfism (disorder),237837007,368331000119100,Short stature co-occurrent and due to endocrine disorder (disorder),(*):  ([1..1]{370135005|Pathological process (attribute)| = 308490002|Pathological developmental process (qualifier value)|} AND [1..1]{363714003|Interprets (attribute)| = 271603002|Height / growth measure (observable entity)|})&limit=7000,170
Repair of femoral hernia (procedure),238171002,773228000,Laparoscopic repair of femoral hernia using surgical mesh (procedure),"(*):  ([1..1]{260686004|Method (attribute)| = 257903006|Repair - action (qualifier value)|,405813007|Procedure site - Direct (attribute)| = <<4828007|Femoral canal structure (body structure)|,363700003|Direct morphology (attribute)| = 414402003|Hernial opening (morphologic abnormality)|})&limit=7000",36
Hair sinus (disorder),238496008,238497004,Sheepshearer's hair sinus (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<127856007|Skin and/or subcutaneous tissue structure (body structure)|,116676008|Associated morphology (attribute)| = 419351001|Sinus (morphologic abnormality)|,246075003|Causative agent (attribute)| = 395508003|Hair - material (substance)|})&limit=7000",2
Polymorphic light eruption (disorder),238525001,238526000,Juvenile spring eruption (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<39937001|Skin structure (body structure)|,116676008|Associated morphology (attribute)| = 1806006|Eruption (morphologic abnormality)|,246075003|Causative agent (attribute)| = 56242006|Light, electromagnetic radiation (physical force)|} AND [1..1]{363698007|Finding site (attribute)| = <<39937001|Skin structure (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|,246075003|Causative agent (attribute)| = 56242006|Light, electromagnetic radiation (physical force)|})&limit=7000",4
Hutchinson-Gilford syndrome (disorder),238870004,10624871000119109,Congenital skin contracture (disorder),(*):  ([1..1]{246454002|Occurrence (attribute)| = 255399007|Congenital (qualifier value)|} AND [1..1]{363698007|Finding site (attribute)| = <<39937001|Skin structure (body structure)|})&limit=7000,272
Reconstruction of anterior cruciate ligament of knee joint (procedure),239431009,391101007,Reconstruction of anterior cruciate ligament using hamstring graft (procedure),"(*):  ([1..1]{260686004|Method (attribute)| = 129377008|Reconstruction - action (qualifier value)|,405813007|Procedure site - Direct (attribute)| = <<895007|Structure of anterior cruciate ligament of knee joint (body structure)|})&limit=7000",3
Excision of colon (procedure),23968004,858579005,"Excision of entire colon, entire rectum and entire anal canal (procedure)","(*):  ([1..1]{260686004|Method (attribute)| = 129304002|Excision - action (qualifier value)|,405813007|Procedure site - Direct (attribute)| = <<71854001|Colon structure (body structure)|})&limit=7000",107
Adult onset Still's disease (disorder),239920006,239920006,Adult onset Still's disease (disorder),"(*):  ([1..1]{246454002|Occurrence (attribute)| = 41847000|Adulthood (qualifier value)|,363698007|Finding site (attribute)| = <<39352004|Joint structure (body structure)|,116676008|Associated morphology (attribute)| = 409777003|Chronic inflammatory morphology (morphologic abnormality)|} AND [1..1]{263502005|Clinical course (attribute)| = 90734009|Chronic (qualifier value)|})&limit=7000",1
Bone necrosis (disorder),240196003,10642191000119108,Necrosis of sacral bone co-occurrent and due to chronic ulcer of sacrum (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<272673000|Bone structure (body structure)|,116676008|Associated morphology (attribute)| = 6574001|Necrosis (morphologic abnormality)|})&limit=7000",30
Stress fracture (disorder),240197007,11314801000119108,Stress fracture of phalanx of left foot (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<272673000|Bone structure (body structure)|,116676008|Associated morphology (attribute)| = 23382007|Stress fracture (morphologic abnormality)|})&limit=7000",34
Viral hemorrhagic fever (disorder),240523007,240523007,Viral hemorrhagic fever (disorder),"(*):  ([1..1]{116676008|Associated morphology (attribute)| = 43865008|Acute hemorrhagic inflammation (morphologic abnormality)|,370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|,246075003|Causative agent (attribute)| = 49872002|Virus (organism)|} AND [1..1]{263502005|Clinical course (attribute)| = 424124008|Sudden onset AND/OR short duration (qualifier value)|})&limit=7000",2
Human papillomavirus infection (disorder),240532009,871634008,Warts of perianal region in infancy caused by Human papillomavirus (disorder),"(*):  ([1..1]{370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|,246075003|Causative agent (attribute)| = 9482002|Human papillomavirus (organism)|})&limit=7000",54
Typhus group rickettsial disease (disorder),240613006,240613006,Typhus group rickettsial disease (disorder),"(*):  ([1..1]{370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|,246075003|Causative agent (attribute)| = 415343008|Rickettsia, typhus group (organism)|})&limit=7000",1
Atopic dermatitis (disorder),24079001,784292007,Acute vesicular eczema of foot (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<39937001|Skin structure (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|} AND [1..1]{47429007|Associated with (attribute)| = 115665000|Atopy (finding)|})&limit=7000",37
Endoscopy of urinary bladder (procedure),24139008,712719005,Cystoscopy and transurethral biopsy of bladder (procedure),"(*):  ([1..1]{260686004|Method (attribute)| = 129433002|Inspection - action (qualifier value)|,405813007|Procedure site - Direct (attribute)| = <<89837001|Urinary bladder structure (body structure)|,424226004|Using device (attribute)| = 20613002|Cystoscope, device (physical object)|})&limit=7000",31
Ascariasis (disorder),2435008,1082721000119101,Pneumonia caused by Ascaris (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<113276009|Intestinal structure (body structure)|,370135005|Pathological process (attribute)| = 442614005|Parasitic process (qualifier value)|,246075003|Causative agent (attribute)| = 66953006|Ascaris (organism)|})&limit=7000",3
Inflammatory bowel disease (disorder),24526004,10628911000119103,Gastroenteritis caused by Influenza A virus (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<113276009|Intestinal structure (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|})&limit=7000",194
Multiple sclerosis (disorder),24700007,816984002,Progressive multiple sclerosis (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<21483005|Structure of central nervous system (body structure)|,116676008|Associated morphology (attribute)| = 32693004|Demyelination (morphologic abnormality)|,370135005|Pathological process (attribute)| = 769247005|Abnormal immune process (qualifier value)|} AND [1..1]{363698007|Finding site (attribute)| = <<21483005|Structure of central nervous system (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|,370135005|Pathological process (attribute)| = 769247005|Abnormal immune process (qualifier value)|})&limit=7000",13
Limb stump pain (finding),247381009,247381009,Limb stump pain (finding),(*):  ([1..1]{255234002|After (attribute)| = 81723002|Amputation (procedure)|} AND [1..1]{363698007|Finding site (attribute)| = <<38033009|Amputation stump (body structure)|} AND [1..1]{363698007|Finding site (attribute)| = <<66019005|Limb structure (body structure)|})&limit=7000,1
Weal (disorder),247472004,10629311000119107,Psoriatic arthritis mutilans (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<39937001|Skin structure (body structure)|,116676008|Associated morphology (attribute)| = 1806006|Eruption (morphologic abnormality)|})&limit=7000",208
Superficial thrombophlebitis (disorder),2477008,16014551000119108,Thrombophlebitis of superficial vein of left lower limb (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<55690003|Structure of superficial vein (body structure)|,116676008|Associated morphology (attribute)| = 110433005|Inflammatory thrombosis (morphologic abnormality)|})&limit=7000",18
Compulsive hoarding (finding),247968005,736318006,Increased sociability (finding),(*):  ([1..1]{363714003|Interprets (attribute)| = 363896009|Behavior observable (observable entity)|} AND [1..1]{363714003|Interprets (attribute)| = 363871006|Mental state (observable entity)|})&limit=7000,29
Wrinkled face (finding),248194004,429356007,Rhytide of glabellar skin (finding),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<73897004|Skin structure of face (body structure)|,116676008|Associated morphology (attribute)| = 27367001|Wrinkled structure (morphologic abnormality)|} AND [1..1]{363714003|Interprets (attribute)| = 364530004|Skin texture (observable entity)|} AND [1..1]{363714003|Interprets (attribute)| = 248167003|Facial appearance (observable entity)|})&limit=7000",6
Swollen knee (finding),248491001,299327001,Suprapatellar swelling of knee joint (finding),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<72696002|Knee region structure (body structure)|,116676008|Associated morphology (attribute)| = 442672001|Swelling (morphologic abnormality)|})&limit=7000",6
Bleeding from nose (finding),249366005,722922001,Neonatal epistaxis (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<312166005|Structure of blood vessel of internal nose (body structure)|,116676008|Associated morphology (attribute)| = 50960005|Hemorrhage (morphologic abnormality)|})&limit=7000",6
Diarrhea and vomiting (finding),249519007,11718971000119100,Diarrhea in pregnancy (disorder),"(*):  ([1..1]{363714003|Interprets (attribute)| = 39211005|Bowel action (observable entity)|,363713009|Has interpretation (attribute)| = 18307000|Altered (qualifier value)|} AND [1..1]{363698007|Finding site (attribute)| = <<122865005|Gastrointestinal tract structure (body structure)|})&limit=7000",88
